,Aberystwyth University,Anglia Ruskin University,Aston University,Bangor University,Bath Spa University,Birmingham City University,Bournemouth University,Brunel University,Cardiff Metropolitan University,Cardiff University,City University Of London,Coventry University,De Montfort University,Durham University,Edge Hill University,FXU (Falmouth & Exeter Student's Union),Glasgow Caledonian University,Heriot Watt University,Imperial College London,Keele University,Kings College London,Kingston University,Lancaster University,Leeds Beckett University,Leeds Conservatoire,Leeds Trinity University,Liverpool John Moores University,London South Bank University,Loughborough University,Manchester Metropolitan University,Middlesex University,Newcastle University,Northumbria University,Nottingham Trent University,Oxford Brookes University,Oxford University,Queen Margaret University,Queen Mary University Of London,Queens University Belfast,Roehampton University,Royal Holloway University Of London,School Of Oriental And African Studies,Sheffield Hallam University,Southampton Solent University,Staffordshire University,Swansea University,Teesside University,Ulster University,University College London,University Of Abertay Dundee,University Of Bath,University Of Bedfordshire,University Of Birmingham,University Of Brighton,University Of Bristol,University Of Cambridge,University Of Chichester,University Of Derby,University Of Dundee,University of East Anglia,University Of Edinburgh,University Of Essex,University Of Exeter,University Of Glasgow,University Of Gloucestershire,University of Greenwich,University Of Hertfordshire,University Of Huddersfield,University Of Hull,University Of Kent,University Of Leeds,University Of Leicester,University Of Lincoln,University Of Liverpool,University Of Manchester,University Of Northampton,University Of Nottingham,University Of Plymouth,University Of Portsmouth,University Of Reading,University Of Salford,University Of Sheffield,University Of Southampton,University Of St Andrews,University Of Stirling,University Of Strathclyde,University Of Suffolk,University Of Sunderland,University Of Surrey,University Of Sussex,University Of The Arts London,University Of The West Of England,University Of Warwick,University Of West London,University Of Westminster,University Of Winchester,University Of York,York St John University
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0,1.0,0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
3,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,2.0,1.0,0.0,4.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0,4.0,0,0.0,3.0,0.0,0.0,4.0,4.0,5.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,4.0,5.0,5.0,5.0,0.0,4.0,0.0,0.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0
4,0.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,11.0,0.0,7.0,4.0,7.0,0.0,0.0,0.0,3.0,12.0,10.0,1.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,2.0,5.0,2.0,1.0,0.0,8.0,0.0,0.0,5.0,2.0,7.0,0.0,0.0,0,4.0,0,4.0,3.0,0.0,0.0,4.0,4.0,5.0,1.0,3.0,0.0,4.0,7.0,2.0,0.0,4.0,5.0,0.0,3.0,7.0,0.0,0.0,0,0.0,1.0,0.0,8.0,4.0,0.0,11.0,4.0,8.0,9.0,9.0,4.0,7.0,4.0,0.0,5.0,4.0,0.0,3.0,0.0,0.0,4.0,6.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0
5,5.0,8.0,5.0,5.0,0.0,5.0,1.0,9.0,0.0,12.0,5.0,11.0,4.0,7.0,0.0,0.0,0.0,3.0,12.0,10.0,1.0,0.0,9.0,0.0,0.0,2.0,4.0,0.0,2.0,5.0,7.0,1.0,0.0,13.0,5.0,0.0,5.0,2.0,7.0,0.0,5.0,0,4.0,0,9.0,8.0,0.0,0.0,4.0,9.0,5.0,1.0,3.0,0.0,9.0,11.0,2.0,0.0,4.0,5.0,0.0,3.0,12.0,0.0,0.0,0,5.0,1.0,0.0,12.0,4.0,5.0,15.0,4.0,13.0,9.0,14.0,4.0,7.0,4.0,0.0,10.0,4.0,0.0,3.0,0.0,0.0,8.0,11.0,6.0,0.0,11.0,14.0,0.0,0.0,0.0,6.0,0.0
6,11.0,8.0,11.0,10.0,0.0,5.0,1.0,15.0,0.0,12.0,5.0,11.0,4.0,13.0,0.0,0.0,0.0,9.0,12.0,10.0,7.0,0.0,9.0,0.0,0.0,2.0,4.0,0.0,8.0,11.0,7.0,7.0,6.0,13.0,5.0,6.0,5.0,2.0,7.0,0.0,5.0,0,4.0,0,15.0,14.0,0.0,0.0,4.0,15.0,11.0,1.0,9.0,0.0,9.0,11.0,8.0,0.0,4.0,5.0,0.0,9.0,18.0,0.0,0.0,0,5.0,1.0,0.0,18.0,10.0,11.0,15.0,4.0,13.0,9.0,20.0,4.0,13.0,4.0,0.0,15.0,10.0,6.0,3.0,0.0,0.0,8.0,11.0,6.0,0.0,17.0,19.0,0.0,6.0,0.0,11.0,6.0
7,11.0,8.0,16.0,10.0,0.0,12.0,1.0,15.0,0.0,19.0,5.0,11.0,4.0,19.0,0.0,0.0,0.0,9.0,12.0,10.0,7.0,0.0,16.0,0.0,0.0,2.0,4.0,0.0,15.0,11.0,14.0,7.0,6.0,20.0,5.0,6.0,5.0,9.0,7.0,0.0,5.0,0,4.0,0,15.0,19.0,7.0,0.0,4.0,20.0,11.0,1.0,15.0,0.0,9.0,11.0,8.0,0.0,4.0,5.0,0.0,9.0,25.0,7.0,0.0,0,5.0,1.0,0.0,25.0,10.0,11.0,15.0,4.0,13.0,9.0,20.0,11.0,20.0,4.0,0.0,15.0,10.0,6.0,3.0,7.0,0.0,8.0,11.0,6.0,0.0,22.0,24.0,0.0,6.0,0.0,18.0,6.0
8,19.0,8.0,16.0,10.0,0.0,12.0,9.0,23.0,0.0,27.0,5.0,11.0,4.0,19.0,8.0,0.0,0.0,9.0,12.0,10.0,7.0,0.0,16.0,0.0,0.0,2.0,4.0,8.0,22.0,11.0,14.0,15.0,6.0,27.0,5.0,6.0,5.0,9.0,7.0,0.0,5.0,0,4.0,0,15.0,19.0,7.0,0.0,4.0,20.0,11.0,1.0,15.0,0.0,9.0,11.0,8.0,8.0,4.0,5.0,0.0,9.0,32.0,15.0,0.0,0,5.0,1.0,0.0,31.0,10.0,11.0,15.0,4.0,13.0,9.0,28.0,11.0,28.0,4.0,0.0,15.0,10.0,6.0,3.0,7.0,0.0,8.0,11.0,14.0,0.0,22.0,32.0,0.0,6.0,0.0,26.0,6.0
9,19.0,8.0,16.0,10.0,0.0,12.0,9.0,23.0,0.0,36.0,5.0,11.0,13.0,28.0,8.0,0.0,0.0,9.0,12.0,10.0,7.0,0.0,16.0,0.0,0.0,2.0,4.0,8.0,22.0,11.0,14.0,23.0,6.0,27.0,5.0,6.0,5.0,18.0,16.0,0.0,5.0,0,4.0,0,24.0,28.0,7.0,0.0,4.0,20.0,11.0,1.0,15.0,0.0,9.0,11.0,8.0,8.0,4.0,5.0,0.0,9.0,32.0,15.0,0.0,0,5.0,1.0,0.0,31.0,10.0,11.0,15.0,4.0,22.0,9.0,37.0,20.0,28.0,4.0,9.0,15.0,10.0,6.0,3.0,7.0,0.0,8.0,11.0,14.0,0.0,22.0,41.0,9.0,6.0,0.0,35.0,6.0
