aegisks whizz kidz,university of york,109.8
aimbridge,university of cambridge,109.8
back six,queens university belfast,109.8
bu and a half men,bournemouth university,109.8
durham defenders,durham university,109.8
elo recovery service,university of southampton,109.8
free range chickens,university of gloucestershire,109.8
g12,university of glasgow,109.8
kcl lions,kings college london,109.8
newclapped,newcastle university,109.8
panopto esports,imperial college london,109.8
qubers,queens university belfast,109.8
rush bee,university of manchester,109.8
slugsblack,university of sheffield,109.8
swansea storm and the taco strikes back,swansea university,109.8
team four,university of southampton,109.8
trent thunder diamond,nottingham trent university,109.8
ucl overlords,university college london,109.8
uea bluejays,university of east anglia,109.8
uob esports alpha,university of birmingham,109.8
uwe sea stags,university of the west of england,109.8
vanix esports,staffordshire university,109.8
warwick sketchyboiz,university of warwick,109.8
warwick stretchyboiz reborn,university of warwick,109.8
0161 is how many bullets we need to kill,university of manchester,82
falmouth phoenix a,fxu (falmouth & exeter student's union),80
half natty head tappers2,lancaster university,78
notts for glory 1,university of nottingham,76
aston archangels csgo,aston university,74
subs in the tub,university of bath,72
surrey stags,university of surrey,70
uwe sea stags black,university of the west of england,68
john moores cheese smelling boars,liverpool john moores university,66
leeds gryphons team 1,university of leeds,64
strathers,university of strathclyde,62
leeds gryphons,university of leeds,60
you shall not bath,university of bath,58
knights of reading,university of reading,56
bristol baked beens,university of bristol,54
derbados,university of derby,52
swansea storm blue,swansea university,50
royal bears csgo,royal holloway university of london,49
brexeter,university of exeter,48
ibuymealdeals,university of leicester,47
csthrow,university of southampton,46
watt wyverns,heriot watt university,45
uorejects,university of gloucestershire,44
ljmu gaming,liverpool john moores university,43
nottingham trent emerald,nottingham trent university,42
kcl cubs,kings college london,41
kebab rush a reloaded,coventry university,40
lancaster team two,lancaster university,39
uol b team,university of lincoln,38
leeds gryphons team 3,university of leeds,37
bcu tbd,birmingham city university,36
south bank elephants csgo team,london south bank university,35
showerheads,university of bath,34
sussex sharks1,university of sussex,33
the penguins of madagascar,staffordshire university,32
durham blaze,durham university,31
thawp park v2,manchester metropolitan university,30
bu bad bois,bournemouth university,29
warwick sketchyboiz academy,university of warwick,29
trent thunder sapphire,nottingham trent university,28
staffs london rampage,staffordshire university,28
nucs,newcastle university,28
leeds gryphons team 5,university of leeds,27
human flashbangs,university of southampton,27
intperial,imperial college london,27
flexeterer,university of exeter,26
swansea storm black,swansea university,26
brunel a,brunel university,26
edinburgh eclipse,university of edinburgh,25
portsmouth paladins,university of portsmouth,25
portsmouth panthers,university of portsmouth,25
tside teesside,teesside university,24
uob esports bravo,university of birmingham,24
threes tees,loughborough university,24
strathers b,university of strathclyde,23
the hertfordshire stags,university of hertfordshire,23
ucl asteroids,university college london,23
endless,university of essex,22
knights of reading b,university of reading,22
dmur mum,de montfort university,22
wig in progress,university of warwick,21
slugs insert colour,university of sheffield,21
head shuters,sheffield hallam university,21
bristol bakas,university of bristol,20
team sussy baka,university of leicester,20
peeker capaldi,university of nottingham,20
cut3,university of cambridge,20
caledonian chargers csgo,glasgow caledonian university,19
royal cubs,royal holloway university of london,19
city esports,city university of london,19
_mip_,university of portsmouth,19
liverpool arctic foxes,university of liverpool,18
yorkus porkus,university of york,18
keele krakens a,keele university,18
roehampton hydras,roehampton university,18
the saints,university of st andrews,17
roehampton hydras,roehampton university,17
blades v2,university of essex,17
kcl mighty steeds,kings college london,17
durham chaos,durham university,16
cardiff crusaders,cardiff university,16
peter griffin,oxford brookes university,16
uea penguins,university of east anglia,15
the magpies,newcastle university,15
strapybara,university of warwick,14
lboro lions,loughborough university,14
uwl,university of west london,13
toonarmy,newcastle university,13
warwick not so massive gummyworm,university of warwick,12
yorkvikings,university of york,12
cardiff cumtatoes,cardiff university,11
colossal cubs,royal holloway university of london,11
uea kingfishers,university of east anglia,10
slouchers,oxford university,10
team fortnite,cardiff university,9
dmur sis,de montfort university,9
brunel csgo team b uhhh,brunel university,8
abercadabra,aberystwyth university,8
lancaster team 3,lancaster university,7
partibois stingzone,cardiff university,7
notts for glory 2,university of nottingham,6
clownter strike,university of essex,6
mmu minotaurs 2,manchester metropolitan university,6
uob esports charlie,university of birmingham,6
kebaby,bangor university,5
uwe sea stags white,university of the west of england,5
warmup,university of warwick,5
rejexeter,university of exeter,5
kent touch this 2,university of kent,4
trent thunder ruby,nottingham trent university,4
cut3st,university of cambridge,4
swans in sweatpants,university of lincoln,4
queen and kentry,university of kent,3
students in pyjamas,sheffield hallam university,3
valorant enjoyers,university of manchester,3
fawns,university of surrey,2
mmu minotaurs 3,manchester metropolitan university,2
sussex rays,university of sussex,2
m3tric,imperial college london,2
ucl happy to b here,university college london,1
bu barracudas red,bournemouth university,1
sussex,university of sussex,1
cardiff clearwater revival,cardiff university,1
brookes team 3,oxford brookes university,0
hoodersfeeyald hoonds,university of huddersfield,0
spray and pray,coventry university,0
dreadnought,university of surrey,0
uon gorillas,university of northampton,0
mouse1 enjoyers,imperial college london,0
remember the blanket,university of chichester,0
warwick first team,university of warwick,0
middlesex mafia gold,middlesex university,0
the harriers,lancaster university,0
fortnitepizza43,university of york,0
swansea storm dragons,swansea university,0
loughbruh fusion,loughborough university,0
chi challengers esports,university of chichester,0
da cool kids,university of sheffield,0
bot gang,university of sussex,0
cut3r,university of cambridge,0
de_nuke_defenders,oxford brookes university,0
team choir of angels,university of leeds,0
roehampton hydras 2,roehampton university,0
keele krakens b,keele university,0
nott gonna get a kill,university of nottingham,0
novas with attitude,university of warwick,0
we couldnt agree on a name,university of derby,0
team4nchester,university of manchester,0
666ix,cardiff university,0
aston angels csgo,aston university,0
watt are you doing,heriot watt university,0
essex esports,university of essex,0
flying scouser,university of liverpool,0
eating huel,coventry university,0
ucrackedl,university college london,0
we_tried,imperial college london,0
warwick w0lves 2,university of warwick,0
qubread,queens university belfast,0
shu money crew,sheffield hallam university,0
team c,brunel university,0
yorkbyte,university of york,0
uwe sea stags orange,university of the west of england,0
uea eagles,university of east anglia,0
durham disasters,durham university,0
pinnk,cardiff university,0
longjohns silvers,loughborough university,0
warwick ducks,university of warwick,150
b r i z b o y s,university of bristol,127
no one is safe,university of southampton,116
ucl instant reflex,university college london,108
lancastervortex,lancaster university,100
blood bath,university of bath,92
durham dog,durham university,84
uop paladins,university of portsmouth,76
kcl lions 2021,kings college london,68
cambridge dota,university of cambridge,60
imperial bonobos,imperial college london,52
warwick shmucks,university of warwick,47
sheffield shockwave,university of sheffield,43
xd,university of nottingham,39
stags dota,university of st andrews,35
surrey_rubix,university of surrey,31
sheffield samurai,university of sheffield,28
bangor_brewmasters,bangor university,27
lidl gaming,university of leeds,26
uwe sea stags,university of the west of england,24
bluejays uea,university of east anglia,23
trent thunder dota pink,nottingham trent university,22
uni of glasgow,university of glasgow,20
ucl aftershock,university college london,19
sussy sharks,university of sussex,18
royal bears,royal holloway university of london,17
simperial,imperial college london,16
skybath mages,university of bath,15
brums of endurance,university of birmingham,14
swasnea vibe,swansea university,13
b r i z b o y s 2,university of bristol,12
sand kings college 2021,kings college london,11
maxs team,university of liverpool,10
notverypoggers,university of nottingham,9
cardiff immortals,cardiff university,8
strathclyde stranglers,university of strathclyde,7
staffordshire stampede,staffordshire university,6
northumbria vikings dota,northumbria university,6
lancasterhurricane,lancaster university,5
xero tolerance for year 2,university of warwick,5
lincolns sphere,university of lincoln,4
notidehunterpls,university of lincoln,4
exeter 2022,university of exeter,3
cambridge university noob team,university of cambridge,3
watt wyverns,heriot watt university,2
