Rank,University,Total,Dota 2,CS:GO,Hearthstone,Overwatch,Rocket League,Fifa,League of Legends
1,Loughborough University,478,30,44,2,16,217,0,169
2,University of Warwick,414,75,117,3,0,139,0,80
3,Newcastle University,412,117,19,38,56,105,22,55
4,King's College London,305,108,58,26,47,7,0,59
5,University of Manchester,322,46,48,41,3,23,0,161
6,Durham University,300,30,56,55,15,58,0,86
7,Coventry University,270,31,60,0,117,0,0,62
8,Lancaster University,255,49,6,0,40,102,0,58
9,University of Portsmouth,249,0,97,0,0,75,0,77
10,Staffordshire University,235,24,22,0,134,39,16,0
11,University of Southampton,234,39,71,7,83,7,0,27
12,University of Sussex,230,0,34,48,87,58,0,3
13,University of Surrey,221,25,31,0,89,5,26,45
14,University of Bristol,214,142,18,0,54,0,0,0
15,University of East Anglia,202,55,102,0,0,0,0,45
16,University of Hertfordshire,196,70,46,0,0,13,0,67
17,University of Reading,191,1,88,0,0,80,0,22
18,Swansea University,188,0,81,0,0,101,0,6
19,Oxford University,181,0,0,136,0,45,0,0
20,University of Lincoln,149,10,15,0,52,33,0,39
21,Heriot-Watt University,167,0,29,70,38,0,0,30
22,University of Birmingham,167,0,6,0,36,57,0,68
23,University of Leeds,164,50,52,0,62,0,0,0
24,University of Bath,164,71,21,0,30,42,0,0
25,University of York,160,20,61,0,42,30,0,7
26,University of Brighton,140,0,0,0,48,0,0,92
27,Sheffield Hallam University,140,52,51,0,0,37,0,0
28,University of Salford,131,0,0,0,0,122,1,8
29,University of Nottingham,126,52,0,0,12,7,0,55
30,Keele University,121,3,2,0,0,59,22,35
31,Brunel University,116,0,35,0,0,0,0,81
32,University of Liverpool,113,80,9,0,0,24,0,0
33,University of Exeter,111,0,16,0,95,0,0,0
34,University of Cambridge,104,40,3,0,58,3,0,0
35,University of the West of England (UWE),96,5,27,0,30,24,0,10
36,Bangor University,95,8,0,0,60,7,0,20
37,Bournemouth University,93,0,91,0,0,2,0,0
38,De Montfort University,92,5,86,0,0,1,0,0
39,University of Derby,86,33,2,0,9,39,3,0
40,Northumbria University,85,16,0,0,0,0,69,0
41,Imperial College London,81,30,30,0,9,12,0,0
42,London School of Economics,75,20,0,0,55,0,0,0
43,University of Abertay Dundee,72,9,0,0,7,0,0,56
44,University College London,71,0,0,0,71,0,0,0
45,Aberystwyth University,68,0,0,0,0,33,28,7
46,University of Hull,68,21,0,16,11,20,0,0
47,University of Sheffield,65,65,0,0,0,0,0,0
48,University of Kent,60,0,0,0,60,0,0,0
49,Aston University,54,0,0,0,19,0,0,35
50,UCFB (University Campus of Football Business),51,0,0,0,0,0,51,0
51,Nottingham Trent University,51,12,5,0,34,0,0,0
52,University of Essex,48,48,0,0,0,0,0,0
53,FXU (Falmouth & Exeter Student's Union),47,0,32,0,7,0,0,8
54,University of Leicester,46,46,0,0,0,0,0,0
55,Leeds Beckett University,46,0,0,0,1,0,0,45
56,University of Glasgow,42,25,0,0,0,0,16,1
57,Birmingham City University,42,0,40,0,2,0,0,0
58,University of Edinburgh,39,36,3,0,0,0,0,0
59,Glasgow Caledonian University,33,0,8,0,25,0,0,0
60,University of St Andrews,30,13,0,0,0,4,6,7
61,Cardiff University,13,3,0,9,0,0,1,0
62,"Royal Holloway, University of London",11,2,0,0,9,0,0,0
63,Wrexham Glyndwr University,7,0,0,1,6,0,0,0
64,University of Plymouth,7,0,7,0,0,0,0,0
65,Northampton College,7,0,0,0,0,0,0,7
66,Teesside University,6,6,0,0,0,0,0,0
67,University of Westminster,0,0,0,0,0,0,0,0
68,University of South Wales,0,0,0,0,0,0,0,0
69,University of London,0,0,0,0,0,0,0,0
70,Oxford Brookes University,0,0,0,0,0,0,0,0
71,Manchester Metropolitan University,0,0,0,0,0,0,0,0
