Rank,University,Total,Dota 2,CS:GO,Hearthstone,Overwatch,Rocket League,Fifa,League of Legends
1,University of Warwick,1104,211,335,23,48,272,0,215
2,Loughborough University,908,112,76,41,16,391,0,272
3,University of Manchester,738,96,108,144,45,43,0,302
4,Newcastle University,638,164,22,67,107,151,22,105
5,Lancaster University,593,133,92,16,92,202,0,58
6,Durham University,537,30,56,55,100,148,0,148
7,King's College London,491,146,85,59,71,54,0,76
8,University of Southampton,489,56,167,7,121,59,0,79
9,Swansea University,477,50,188,27,0,196,0,16
10,Coventry University,463,36,103,0,190,0,0,134
11,University of Sussex,449,0,34,148,169,93,0,5
12,University of Surrey,439,37,97,0,180,13,26,86
13,University of East Anglia,433,62,159,5,9,1,0,197
14,Staffordshire University,427,56,25,0,252,78,16,0
15,University of York,411,45,192,0,73,69,0,32
16,University of Leeds,377,83,100,62,132,0,0,0
16,Keele University,377,61,38,0,48,118,22,90
18,University of Portsmouth,371,0,164,0,0,130,0,77
19,University of Reading,368,1,146,22,2,148,0,49
20,University of Nottingham,359,146,0,38,61,14,0,100
21,University of Hertfordshire,358,136,89,0,0,33,0,100
22,University of Bristol,355,250,22,0,83,0,0,0
23,University of Birmingham,349,20,8,35,118,69,0,99
24,University of Bath,333,116,73,12,44,88,0,0
25,Imperial College London,325,150,30,0,83,62,0,0
26,Heriot-Watt University,315,52,35,100,38,0,0,90
27,Oxford University,313,9,0,248,0,52,0,4
28,Brunel University,277,32,89,0,0,0,0,156
29,University of Abertay Dundee,268,9,0,0,91,20,0,148
30,De Montfort University,257,5,86,0,6,81,0,79
31,University of Cambridge,250,58,35,0,131,6,0,20
32,Sheffield Hallam University,239,77,74,0,0,88,0,0
33,University of Salford,226,0,38,0,0,179,1,8
34,University of Brighton,221,0,0,0,85,0,0,136
35,Bangor University,207,27,0,18,108,7,0,47
36,University of Exeter,198,0,29,0,169,0,0,0
37,University of Derby,190,35,35,0,24,91,3,2
38,University of Liverpool,181,91,42,0,0,48,0,0
39,University of Hull,180,27,0,54,17,50,0,32
40,University of St Andrews,168,15,16,80,5,12,6,34
41,University of Sheffield,158,158,0,0,0,0,0,0
42,Bournemouth University,155,0,153,0,0,2,0,0
43,University of Lincoln,149,10,15,0,52,33,0,39
44,University College London,142,49,0,0,93,0,0,0
45,University of Kent,129,0,0,0,117,12,0,0
46,University of Essex,126,48,1,50,0,0,0,27
47,University of the West of England (UWE),121,5,35,0,30,40,0,11
48,Nottingham Trent University,100,27,8,0,65,0,0,0
49,Northumbria University,99,17,0,0,0,0,69,13
50,University of Edinburgh,94,91,3,0,0,0,0,0
51,Manchester Metropolitan University,81,0,11,0,25,45,0,0
52,Leeds Beckett University,80,0,0,0,2,0,0,78
53,Aston University,76,0,0,0,34,0,0,42
54,London School of Economics,75,20,0,0,55,0,0,0
55,Aberystwyth University,68,0,0,0,0,33,28,7
56,University of Leicester,67,67,0,0,0,0,0,0
57,Birmingham City University,62,7,40,3,12,0,0,0
58,University of Glasgow,61,41,0,0,0,0,16,4
59,FXU (Falmouth & Exeter Student's Union),56,0,32,9,7,0,0,8
60,Oxford Brookes University,53,0,52,0,1,0,0,0
61,UCFB (University Campus of Football Business),51,0,0,0,0,0,51,0
62,Cardiff University,43,33,0,9,0,0,1,0
63,"Royal Holloway, University of London",41,2,0,0,9,30,0,0
64,Glasgow Caledonian University,40,0,8,0,32,0,0,0
65,Teesside University,33,33,0,0,0,0,0,0
66,University of London,10,10,0,0,0,0,0,0
67,University of Plymouth,9,0,7,0,0,2,0,0
68,Wrexham Glyndwr University,7,0,0,1,6,0,0,0
69,Northampton College,7,0,0,0,0,0,0,7
70,University of South Wales,5,0,5,0,0,0,0,0
71,University of Westminster,0,0,0,0,0,0,0,0
