Rank,University,Total,CS:GO,Dota 2,FIFA,Hearthstone,League of Legends,Overwatch,Rainbow 6 (USL),Rocket League,Smash (Singles),Smash (Teams),Tekken (UFG)
1,University of Warwick,868,148,180,0,0,108,123,0,240,40,0,29
2,Staffordshire University,801,183,55,5,0,54,146,43,138,111,65,1
3,University of Southampton,749,182,166,0,64,91,67,20,64,46,49,0
4,University of Portsmouth,608,105,38,34,0,41,117,24,166,77,5,1
5,University of Birmingham,571,29,80,0,80,53,102,1,108,67,35,16
6,University of York,568,210,26,0,10,14,133,21,41,43,70,0
7,University of Leeds,544,35,110,24,50,52,58,36,120,22,25,12
8,University of Kent,536,75,69,0,0,118,136,57,63,18,0,0
9,University of The West of England,497,192,20,30,35,59,92,2,65,2,0,0
10,Loughborough University,494,37,20,0,0,157,33,31,213,3,0,0
11,University of Bath,476,37,37,0,0,89,33,24,134,42,80,0
12,Newcastle University,471,107,68,61,3,79,32,39,79,3,0,0
13,Durham University,458,64,112,4,4,9,31,0,84,50,100,0
14,University College London,446,0,130,0,25,123,53,32,21,0,62,0
15,University of Lincoln,445,28,64,31,0,112,87,25,86,4,0,8
16,University of Nottingham,422,0,125,116,0,76,57,0,20,28,0,0
17,Lancaster University,416,50,119,0,0,46,50,56,95,0,0,0
18,Keele University,409,35,10,66,0,82,90,34,90,2,0,0
19,Bournemouth University,407,145,0,25,0,39,92,5,101,0,0,0
20,Swansea University,389,135,63,40,0,17,0,62,15,52,2,3
21,Kings College London,384,1,156,0,19,101,54,28,14,11,0,0
22,University of Bristol,380,58,51,0,0,106,77,0,21,67,0,0
23,Brunel University,380,71,5,0,31,121,6,65,64,0,0,17
24,University of Exeter,355,16,70,0,0,35,107,37,26,26,38,0
25,University of East Anglia,346,59,68,0,0,53,70,0,43,22,31,0
26,University of Reading,337,69,22,23,0,64,22,5,65,47,7,13
27,Coventry University,328,10,32,3,0,145,65,68,0,5,0,0
28,Heriot Watt University,328,51,75,4,0,39,107,5,1,28,0,18
29,University of Surrey,327,73,45,0,0,91,94,15,9,0,0,0
30,Royal Holloway University of London,326,52,54,0,0,66,39,8,59,27,21,0
31,University of Derby,305,77,48,17,0,35,34,63,31,0,0,0
32,University of Brighton,303,29,0,0,0,68,0,2,75,96,33,0
33,University of Hertfordshire,298,62,35,0,0,38,12,16,94,41,0,0
34,University of Sussex,284,3,6,0,42,18,58,12,145,0,0,0
35,University of Salford,266,46,0,0,0,6,0,55,157,2,0,0
36,University of St Andrews,262,0,50,0,100,35,18,28,14,17,0,0
37,University of Manchester,254,58,0,4,0,105,12,74,1,0,0,0
38,University of Cambridge,249,43,44,0,70,12,72,0,8,0,0,0
39,Cardiff University,233,41,9,1,0,83,48,11,40,0,0,0
40,Northumbria University,230,3,56,16,1,52,60,22,0,0,0,20
41,Nottingham Trent University,230,32,53,6,0,19,22,17,56,0,0,25
42,University of Abertay Dundee,228,0,62,0,0,92,66,0,0,0,0,8
43,University of Sunderland,197,21,19,84,,15,13,6,27,12,0,0
44,De Montfort University,196,80,8,14,0,63,0,31,0,0,0,0
45,University of Liverpool,186,3,39,18,0,0,0,35,54,37,0,0
46,Imperial College London,171,50,61,0,14,8,4,0,13,21,0,0
47,University of Leicester,170,0,86,0,0,0,0,8,9,58,9,0
48,UCFB (University Campus of Football Business),164,0,0,149,0,0,0,0,15,0,0,0
49,Sheffield Hallam University,162,0,37,1,0,19,0,47,58,0,0,0
50,Aberystwyth University,143,10,3,0,8,26,0,0,10,63,12,11
51,Roehampton University,139,0,18,28,,92,0,1,0,0,0,0
52,Birmingham City University,138,33,2,0,0,1,0,0,52,0,49,1
53,University of Glasgow,133,0,49,26,0,3,0,15,3,37,0,0
54,Bangor University,132,0,30,27,0,48,16,0,0,11,0,0
55,FXU (Falmouth & Exeter Student's Union),129,71,0,0,0,0,22,22,0,14,0,0
56,Leeds Beckett University,129,55,0,0,0,27,0,0,0,47,0,0
57,Glasgow Caledonian University,128,4,30,0,6,0,0,17,0,22,49,0
58,University of Chichester,128,31,0,96,0,0,0,0,0,0,0,1
59,University of Essex,127,34,48,0,0,0,0,1,44,0,0,0
60,University of Hull,125,23,66,0,0,0,9,0,19,2,0,6
61,Manchester Metropolitan University,100,13,11,0,0,0,46,30,0,0,0,0
62,University of Sheffield,82,0,0,0,0,6,0,0,0,46,30,0
63,University of Edinburgh,80,0,0,0,0,0,80,0,0,0,0,0
64,Middlesex University,76,5,0,0,0,24,9,0,0,32,4,2
65,University of Huddersfield,70,22,3,0,0,21,14,0,0,0,0,10
66,Oxford University,69,0,28,0,0,0,0,0,41,0,0,0
67,University of Plymouth,49,30,0,19,0,0,0,0,0,0,0,0
68,Edinburgh Napier University,46,0,0,0,0,0,0,0,0,46,0,0
69,Queen Mary University of London,43,0,0,0,0,0,0,0,0,43,0,0
70,Edge Hill University,41,25,0,0,0,7,6,3,0,0,0,0
71,Univeristy of Gloucestershire,35,0,0,0,0,0,0,0,0,35,0,0
72,Liverpool Hope University,32,0,0,0,0,0,0,0,0,32,0,0
73,London South Bank University,32,1,0,0,0,0,0,0,0,24,0,7
74,University of Greenwich,31,31,0,0,0,0,0,0,0,0,0,0
75,University of Northampton,31,0,0,0,0,14,0,0,0,17,0,0
76,Wrexham Glyndwr University,21,0,0,0,0,0,0,0,0,21,0,0
77,Leeds College of Music,21,0,0,0,0,0,0,0,0,19,0,2
78,University of Dundee,18,0,0,18,0,0,0,0,0,0,0,0
79,Anglia Ruskin University,11,0,0,0,0,0,0,0,0,11,0,0
80,Aston University,11,0,0,0,0,11,0,0,0,0,0,0
81,Teesside University,10,0,0,0,0,1,0,0,9,0,0,0
82,University of the Arts London,7,0,0,0,0,0,0,0,0,7,0,0
83,Southampton Solent University,3,0,0,0,0,0,0,3,0,0,0,0
84,University of South Wales,3,0,0,0,0,0,0,0,0,3,0,0
85,University of Westminster,0,0,0,0,0,0,0,0,0,0,0,0
86,University of London,0,0,0,0,0,0,0,0,0,0,0,0
87,Oxford Brookes University,0,0,0,0,0,0,0,0,0,0,0,0
88,Northampton College,0,0,0,0,0,0,0,0,0,0,0,0
89,London School of Economics,0,0,0,0,0,0,0,0,0,0,0,0
