@relation 100_points_plus

@attribute University {'University of Warwick','Staffordshire University','Loughborough University','University of Southampton','Swansea University','Durham University','University of Birmingham','University of Exeter','University of The West of England','University of Bath','University College London','University of Portsmouth','Nottingham Trent University','University of East Anglia','Kings College London','University of Manchester','University of York','Lancaster University','University of Nottingham','Keele University','Newcastle University','University of Bristol','University of Kent','University of Leeds','Cardiff University','University of Lincoln','University of Reading','University of Sheffield','Royal Holloway University of London','Coventry University','Roehampton University','Imperial College London','Oxford Brookes University','University of Salford','University of Sussex','Bournemouth University','Brunel University','University of Essex','University of Surrey','University of Cambridge','Queens University Belfast','University of Liverpool','Heriot Watt University','Aston University','University of Abertay Dundee','University of Glasgow','University of Chichester','Liverpool John Moores University','University of Leicester','University of Hertfordshire','Manchester Metropolitan University','Birmingham City University',FXU,'Sheffield Hallam University','University of Strathclyde','De Montfort University','Northumbria University','Queen Mary University of London','University of Derby','University of Edinburgh','London South Bank University','University of St Andrews','Teesside University','Bangor University','University of Plymouth','Aberystwyth University','University of Northampton','Glasgow Caledonian University','University of Westminster','Oxford University'}
@attribute Rank numeric
@attribute Total numeric
@attribute CS:GO numeric
@attribute 'Dota 2' numeric
@attribute 'League of Legends' numeric
@attribute Overwatch numeric
@attribute 'Rainbow 6' numeric
@attribute 'Rocket League' numeric
@attribute Smash numeric
@attribute Valorant numeric
@attribute TFT numeric
@attribute Racing numeric
@attribute UFG numeric
@attribute 'Total Students' numeric
@attribute 'Male Students' numeric
@attribute 'Female Students' numeric
@attribute 'First Years' numeric
@attribute 'Not First Years' numeric
@attribute Undergrads numeric

@data
'University of Warwick',1,2037,299,177,383,255,186,356,17,272,11,8,73,12700,5350,7340,7315,5385,10680
'Staffordshire University',2,1365,202,5,103,176,10,119,344,361,4,39,2,15675,8120,7545,7470,8205,13295
'Loughborough University',3,1023,31,27,138,64,207,295,25,150,0,86,0,18295,10795,7500,7015,11280,13885
'University of Southampton',4,985,383,0,36,90,38,201,60,159,7,0,11,23090,10285,12735,10550,12540,17765
'Swansea University',5,955,233,11,205,19,187,67,24,159,0,6,44,20375,10615,9760,8265,12110,16315
'Durham University',6,940,143,76,94,65,104,229,60,116,14,39,0,29000,13100,15855,12455,16545,23045
'University of Birmingham',7,938,127,7,63,92,124,188,111,166,32,0,28,16725,7035,9690,9345,7380,13155
'University of Exeter',8,896,49,0,270,58,112,162,103,126,10,6,0,19520,8955,10560,8205,11315,14730
'University of The West of England',9,845,205,60,70,112,0,218,59,97,0,7,17,9905,3740,6135,4365,5535,8670
'University of Bath',10,797,96,130,183,18,13,124,89,144,0,0,0,6765,2060,4420,2885,3880,5985
'University College London',11,788,131,176,207,9,76,0,1,178,10,0,0,41095,16555,24525,21395,19700,19715
'University of Portsmouth',12,744,80,68,0,170,29,282,10,94,0,11,0,18410,7530,10870,7480,10930,15660
'Nottingham Trent University',13,739,83,23,102,29,120,266,0,51,0,65,0,2360,895,1435,905,1455,2265
'University of East Anglia',14,731,88,22,62,69,41,253,0,143,0,11,42,19520,8955,10560,8205,11315,14730
'Kings College London',15,718,160,41,209,19,20,0,0,247,0,2,20,10880,4360,6510,4515,6365,8490
'University of Manchester',16,706,173,0,208,116,9,60,0,100,8,31,1,330,120,210,115,215,17805
'University of York',17,701,164,2,66,134,0,200,0,82,0,46,7,10180,3150,7030,4860,5320,8400
'Lancaster University',18,701,60,116,257,37,0,26,0,151,13,41,0,325,130,190,215,110,240
'University of Nottingham',19,700,94,90,104,31,28,149,0,146,2,10,46,34840,15670,19080,14845,19995,25980
'Keele University',20,685,87,0,136,20,116,222,26,76,0,0,2,10880,4360,6510,4515,6365,8490
'Newcastle University',21,677,174,0,134,39,110,43,80,93,0,4,0,28070,13375,14650,12370,15700,21300
'University of Bristol',22,649,123,139,148,114,18,21,13,61,12,0,0,16725,7035,9690,9345,7380,13155
'University of Kent',23,648,47,0,104,19,64,163,67,160,0,24,0,25520,11455,14065,12715,12805,17805
'University of Leeds',24,630,91,47,148,54,173,114,0,3,0,0,0,25520,11455,14065,12715,12805,17805
'Cardiff University',25,602,139,5,128,50,72,46,0,136,4,22,0,33260,13530,19680,16225,17035,23755
'University of Lincoln',26,593,60,17,206,85,56,135,0,28,0,3,3,25520,11455,14065,12715,12805,17805
'University of Reading',27,590,18,0,28,104,94,173,20,54,0,52,47,18410,7530,10870,7480,10930,15660
'University of Sheffield',28,585,171,114,124,29,26,30,0,86,0,5,0,18410,7530,10870,7480,10930,15660
'Royal Holloway University of London',29,579,112,19,105,112,39,25,0,142,0,22,3,11530,4935,6595,5210,6320,8530
'Coventry University',30,563,43,0,126,84,53,11,0,109,21,116,0,38430,19920,18480,18525,19905,31645
'Roehampton University',31,502,28,0,163,127,0,75,0,88,8,13,0,12495,4510,7970,4140,8355,10365
'Imperial College London',32,499,155,63,128,0,31,75,16,23,3,0,5,11155,6680,4475,4245,6910,8150
'Oxford Brookes University',33,473,13,0,0,28,107,34,2,202,2,75,10,16900,6835,10040,7355,9545,12710
'University of Salford',34,455,0,0,186,0,12,185,60,12,0,0,0,18410,7530,10870,7480,10930,15660
