Provisional 2021 Winter BUEC Points Public : Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,British University Esports Championship Winter Standings,,,,,,,,,,,,,,,,,,,,CS:GO,,,,,Dota 2,,,,,League of Legends,,,,,Overwatch,,,,,Rainbow 6 Siege,,,,,Rocket league,,,,,Valorant,,,,,Smash Teams,,,,,TFT,,,,,Smash,,,,,BUSR - GT Championship,,,,,BUSR - F1 2021 Championship,,,,,UFG- Melty Blood,,,,,UFG- Guilty Gear Strive,,,,,UFG - Tekken,,133,,,,
,Rank,University,Total,CS:GO,Dota 2,League of Legends,Overwatch,Rainbow 6,Rocket League,Smash (Teams),Valorant,TFT Oct,Smash Oct,GT Championship,F1 2020 Championship,UFG- Melty,UFG- Guilty,UFG - Tekken,,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,,
,1,University of Warwick,2037,299,177,383,255,186,356,0,272,11,17,0,8,14,0,59,,,Championship Bracket,,,,,Championship Bracket,,,,,Championship,,,,,Championship Bracket,,,,,Championship Bracket,,,,,Championship,,,,,Division 1,,,,,,,,,,October,,,,,October,,,,,,,,,,,,,,,,,,,,,,,Hench,,,,,,,,
,2,Staffordshire University,1365,202,5,103,176,10,119,234,361,4,110,0,39,0,2,0,,,1,Rush Bee,University Of Manchester,150,,1,UCl Instant Reflex,University College London,150,,1,Grey Warwick,University of Warwick,150,,1,Portsmouth Paladins,University Of Portsmouth,150,,1,Lovebros,Loughborough University,150,,1,Keele Krackens,Keele University,150,,1,KCL Lions,Kings College London,150,,1,Where are our pins,University of Exeter,100,,1,WLoughran,Northumbria University,17,,1,Phillip Chamberlain,Staffordshire University,20,,1,Angus Fender,Oxford Brookes University,38,,1,Lewis Grant-Smith,London South Bank University,38,,1,Large Lad,University of Hull,25,,1,Lament,University of East Anglia,38,,1,Tahuru,University of Warwick,25,,,
,3,Loughborough University,1023,31,27,138,64,207,295,0,150,0,25,15,71,0,0,0,,,2,Team Four,University Of Southampton,140,,2,Warwick Ducks,University Of Warwick,127,,2,DMU T1,De Montfort University,140,,2,Watermelon Waddlers,Staffordshire University,135,,2,Leads,University Of Leeds,135,,2,Portsmouth Paladins,University Of Portsmouth,140,,2,Birhmingham Bulls,University of Birmingham,140,,2,Apex Reborn,Staffordshire University,85,,2,Temlozz,University of Birmingham,15,,2,George Humphreys,Staffordshire University,18,,2,Jack Noller,Oxford Brookes University,32,,2,Lucas Ulitschnik,Staffordshire University,34,,2,Sherlock is Home,Manchester Metropolitan University,20,,2,Duck,University of Reading,32,,2,BrokenCellz,University of Birmingham,20,,,
,4,University of Southampton,985,383,0,36,90,38,201,60,159,7,0,0,0,0,11,0,,,3,g12,University Of Glasgow,135,,3,Blood Bath,University Of Bath,116,,3,UoM T1,University Of Manchester,135,,3,Team Dynasty,Roehampton University,127,,3,Swansea Storm,Swansea University,127,,3,Salford Lions,University Of Salford,135,,3,Swansea Academy,Swansea University,135,,3,Smash in the Bath,University of Bath,78,,3,Joshy Chan,Birmingham City University,13,,3,Toby Thurgood,University of Warwick,17,,3,Ish Shah,Coventry University,29,,3,Ahmed Atcha,Lancaster University,32,,3,TitanicWomble,Teesside University,17,,3,Rahil,Brunel University,29,,3,Dan Bridges,University of Warwick,17,,,
,5,Swansea University,955,233,11,205,19,187,67,0,159,0,24,6,0,40,0,4,,,4,Falmouth Phoenix A,FXU (Falmouth & Exeter Student's Union),130,,4,B R I Z B O Y S,University Of Bristol,108,,4,Keele Krakens,Keele University,130,,4,Warwick Angels,University of Warwick,121,,4,Blue Charm Collectors,University of Warwick,121,,4,Warwick Portsmouth Paladins,University Of Warwick,130,,4,Warwick Dire WoIves Jr,University Of Warwick,130,,4,Tsunami,Staffordshire University,72,,4,Mushmelon,Coventry University,12,,4,Jackson Hinkler,Sheffield Hallam University,17,,4,Jason List,Durham University,27,,4,Deadeye,Loughborough University,31,,4,Wavebank,Swansea University,14,,4,Teruko,University of Westminster,27,,4,Dhiren_GM,University of Warwick,14,,,
,6,Durham University,940,143,76,94,65,104,229,40,116,14,20,39,0,0,0,0,,,5,SLUGSBlack,University Of Sheffield,127,,5,Lancaster Vortex,Lancaster University,100,,5,KCL Lions,Kings College London,123,,5,ManOWT1,University of Manchester,116,,5,Office Chairs,Keele University,116,,05-Jun,BCU Blue,Birmingham City University,126,,5,UCL Team S,University College London,127,,5,Smash and Trebs,Newcastle University,64,,5,Adverse,Queen Mary University of London,12,,5,Benjamin Dang,Swansea University,16,,5,Anna Langsdale-Foster,Nottingham Trent University,25,,5,Carson Tharp,Coventry University,29,,5,Elliot,Swansea University,10,,5,Volconage,University of Nottingham,25,,5,Cawfee,Aston University,12,,,
,7,University of Birmingham,938,127,7,63,92,124,188,69,166,32,42,0,0,0,0,28,,,5,UoB Esports Alpha,University Of Birmingham,124,,6,Sheffield Samurai,University Of Sheffield,92,,,Lowhampton,Roehampton University,123,,6,Royal Bears OW,Royal Holloway University of London,112,,6,Exeterrific,University of Exeter,112,,05-Jun,UWE SeaStags Black,University Of The West Of England,126,,5,Staffs London Rampage,Staffordshire University,124,,,Vanix Smash,Staffordshire University,64,,6,Marstarr,University of Warwick,11,,,Cheks Nweze,Durham University,16,,6,Umar Farooqi,University of York,23,,6,Anna Foster,Nottingham Trent University,28,,,Captain Hancock,University Of The West Of England,10,,,Sherlock is Home,Manchester Metropolitan University,23,,6,GANGGANGGANG,University Of Surrey,9,,,
,8,University of Exeter,896,49,0,270,58,112,162,100,126,10,3,0,6,0,0,0,,,7,Swansea Storm and the Taco Strikes Back,Swansea University,121,,7,xD,University Of Nottingham,84,,,Konrads Kids,University Of Bath,123,,7,404,University of York,108,,7,Liverpool Arctic Foxes,University of Liverpool,108,,Challenger,,,,,7,Royal Mix,Royal Holloway University Of London,121,,7,The Heist,London South Bank University,54,,7,FPX Beichuan,University College London,10,,7,BrowBoy,University of Birmingham,14,,7,Dimitris Tsioumanis,University of Manchester,21,,7,Jacob Hardwick,University of Reading,27,,7,CatMan33,University of Warwick,7,,7,seanj30,University of Brighton,21,,7,Teshi,University of Birmingham,8,,,
,9,University of The West of England,845,205,60,70,112,0,218,31,97,0,28,7,0,10,7,0,,,7,UWE Sea Stags,University Of The West Of England,118,,8,Durham Dog,Durham University,76,,,Deus Exe,University Of Exeter,123,,8,Reading Knights,University of Reading,104,,8,Durham Defender,Durham University,104,,1,UoB Nightingales,University Of Birmingham,121,,,,,,,,Salford Lions,University of Salford,54,,8,Settrigh01,Coventry University,9,,,Flynn Higgins-Baker,University of the West of England,14,,8,Jimmy Lin,University of Glasgow,19,,8,Bradley Chambers,University of Hertfordshire,26,,,Chi,Swansea University,7,,,ChillPenguin,Sheffield Hallam University,19,,8,Sync,University of Hertfordshire,6,,,
