aegisks whizz kidz,1,109.8
aimbridge,1,109.8
Back Six,1,109.8
BU and a Half Men,1,109.8
Durham Defenders,1,109.8
Elo Recovery Service,1,109.8
Free Range Chickens,1,109.8
g12,1,109.8
KCL Lions,1,109.8
Newclapped,1,109.8
Panopto eSports,1,109.8
QUbers,1,109.8
Rush BEE,1,109.8
SLUGSBlack,1,109.8
Swansea Storm and the Taco Strikes Back,1,109.8
Team Four,1,109.8
Trent Thunder Diamond,1,109.8
UCL Overlords,1,109.8
UEA Bluejays,1,109.8
UoB Esports Alpha,1,109.8
UWE Sea Stags,1,109.8
Vanix Esports,1,109.8
Warwick Sketchyboiz,1,109.8
Warwick Stretchyboiz Reborn,1,109.8
Wins R Us,1,109.8
0161 is how many bullets we need to kill,26,82
Falmouth Phoenix A,27,80
half natty head tappers2,28,78
Notts For Glory 1,29,76
Aston Archangels CSGO,30,74
Subs in the Tub,31,72
Surrey Stags,32,70
UWE Sea Stags Black,33,68
John Moores Cheese Smelling Boars,34,66
Leeds Gryphons Team 1,35,64
StratherS,36,62
Leeds Gryphons,37,60
You Shall Not Bath,38,58
Knights of Reading,39,56
Bristol Baked Beens,40,54
Derbados,41,52
Swansea Storm Blue,42,50
Royal Bears CSGO,43,49
Brexeter,44,48
IBuyMealDeals,45,47
CSThrow,46,46
Watt Wyverns,47,45
UORejects,48,44
LJMU Gaming,49,43
Nottingham Trent Emerald,50,42
KCL Cubs,51,41
Kebab Rush A Reloaded,52,40
Lancaster Team Two,53,39
UOL B Team,54,38
Leeds Gryphons Team 3,55,37
BCU TBD,56,36
South Bank Elephants CSGO Team,57,35
ShowerHeads,58,34
Sussex Sharks1,59,33
The Penguins Of Madagascar,60,32
Durham Blaze,61,31
ThAWP Park V2,62,30
BU Bad bois,63,29
Warwick Sketchyboiz Academy,64,29
Trent Thunder Sapphire,65,28
Staffs London Rampage,66,28
NUCS,67,28
Leeds Gryphons Team 5,68,27
Human Flashbangs,69,27
INTperial,70,27
flexeterer,71,26
Swansea Storm Black,72,26
Brunel A,73,26
Edinburgh Eclipse,74,25
Portsmouth Paladins,74,25
Portsmouth Panthers,74,25
Tside Teesside,75,24
UoB Esports Bravo,76,24
Threes Tees,77,24
StratherS B,78,23
The Hertfordshire Stags,79,23
UCL Asteroids,80,23
ENDLESS,81,22
Knights of Reading B,82,22
DMUr Mum,83,22
WIG In Progress,84,21
SLUGS INSERT COLOUR,85,21
Head SHUters,86,21
Bristol Bakas,87,20
Team Sussy Baka,88,20
Peeker Capaldi,89,20
CUT3,90,20
Caledonian Chargers CSGO,91,19
Royal Cubs,92,19
City Esports,93,19
_MiP_,94,19
Liverpool arctic foxes,95,18
Yorkus Porkus,96,18
Keele Krakens A,97,18
Roehampton hydras,98,18
The Saints,98,17
Roehampton Hydras,99,17
Blades V2,100,17
KCL Mighty Steeds,101,17
Durham Chaos,102,16
Cardiff Crusaders,103,16
PETER GRIFFIN,104,16
UEA Penguins,105,15
The Magpies,106,15
Strapybara,107,14
Lboro Lions,108,14
UWL,109,13
Toonarmy,110,13
Warwick Not So Massive Gummyworm,111,12
YorkVikings,112,12
Cardiff Cumtatoes,113,11
Colossal Cubs,114,11
UEA Kingfishers,114,10
slOUchers,115,10
Team Fortnite,116,9
DMUr Sis,117,9
