University,Points
university of warwick,1928
staffordshire university,976
loughborough university,912
university of southampton,907
swansea university,881
durham university,827
university of birmingham,767
university of exeter,777
university of the west of england,762
university of bath,708
university college london,777
university of portsmouth,723
nottingham trent university,674
university of east anglia,678
kings college london,696
university of manchester,666
university of york,648
lancaster university,647
university of nottingham,642
keele university,657
newcastle university,593
university of bristol,624
university of kent,557
university of leeds,630
cardiff university,576
university of lincoln,587
university of reading,471
university of sheffield,580
royal holloway university of london,554
coventry university,426
roehampton university,481
imperial college london,475
oxford brookes university,384
university of salford,395
university of sussex,434
bournemouth university,427
brunel university,245
university of essex,399
university of surrey,367
university of cambridge,361
queens university belfast,346
university of liverpool,318
heriot watt university,314
aston university,290
university of abertay dundee,299
university of glasgow,257
university of chichester,268
liverpool john moores university,258
university of leicester,236
university of hertfordshire,182
manchester metropolitan university,170
birmingham city university,189
fxu (falmouth & exeter student's union),211
sheffield hallam university,157
university of strathclyde,176
de montfort university,178
northumbria university,155
queen mary university of london,164
university of derby,175
university of edinburgh,176
london south bank university,42
university of st andrews,160
teesside university,120
bangor university,133
university of plymouth,137
aberystwyth university,134
university of northampton,101
glasgow caledonian university,112
university of westminster,45
oxford university,71
university of gloucestershire,92
city university of london,74
university of brighton,67
university of stirling,74
university of huddersfield,72
university of the arts london,69
york st john university,47
middlesex university,49
anglia ruskin university,48
university of dundee,45
university of hull,18
cardiff metropolitan university,42
ulster university,36
university of west london,39
edge hill university,30
university of sunderland,31
university of bedfordshire,7
leeds beckett university,12
bath spa university,11
university of winchester,4
university of suffolk,10
queen margaret university,8
leeds conservatoire,5
leeds trinity university,6
school of oriental and african studies,0
university of greenwich,0
southampton solent university,0
kingston university,0
kingston university,0
