,Team,University
0,['CS:GOwins r us'],['']
1,['CS:GOibuymealdeals'],['University of Leicester']
2,['CS:GOljmu gaming'],['Liverpool John Moores University']
3,['CS:GOsouth bank elephants csgo team'],['LONDON SOUTH BANK UNIVERSITY']
4,['CS:GOthrees tees'],['Loughborough University']
5,['CS:GOpartibois stingzone'],['Cardiff University']
6,['CS:GOclownter strike'],['University of Essex']
7,['CS:GOuwe sea stags white'],['University of the West of England']
8,['CS:GOteam freshers'],['']
9,['CS:GOfawns'],['University of Surrey']
10,['CS:GOcardiff clearwater revival'],['Cardiff University']
11,['CS:GOuob esports delta'],['']
12,['CS:GOastonapescsgo'],['']
13,['CS:GOexestential crisis'],['']
14,['CS:GOflashbangor'],['']
15,['Dota 2no one is safe'],['University of Southampton']
16,['Dota 2lancastervortex'],['LANCASTER UNIVERSITY']
17,['Dota 2bangor_brewmasters'],['BANGOR UNIVERSITY']
18,['Dota 2lancasterhurricane'],['LANCASTER UNIVERSITY']
19,['Dota 2exeter 2022'],['UNIVERSITY OF EXETER']
20,['League of Legendsed edd n eddy'],['University of Birmingham']
21,['League of Legendsmmu minotaurs team 1'],['Manchester Metropolitan University']
22,['League of Legendsbingbingbang'],['Keele University']
23,['League of Legendstrentthunderpink'],['Nottingham Trent University']
24,['League of Legendsmighty novelty crabs'],['Sheffield Hallam University']
25,['League of Legendsaston archangels'],['Aston University']
26,['League of Legendsthree imposters'],['Edge Hill University']
27,['League of Legendslancaster minions x'],['Lancaster University']
28,['League of Legendsvicious vipers'],['University of Manchester']
29,['League of Legendstrentthunder green'],['Nottingham Trent University']
30,['League of Legendsdurham disasters'],['Durham University']
31,['League of Legendsteam 4'],['']
32,['League of Legendsuomt3'],['University of Manchester']
33,['League of Legendsneedlesslylargerods'],['']
34,['League of Legendscwa'],['']
35,['League of Legendswashedbucklers'],['']
36,['League of Legendsaverage tahm kench enjoyers'],['']
37,['League of Legendssheffield mental boomers'],['']
38,['League of Legendssimping4sett'],['']
39,['League of Legendsmental boomers'],['']
40,['League of Legendsbangor team 3'],['']
