,Team,University,Points
0,aegisks whizz kidz,university of york,109.8
1,aimbridge,university of cambridge,109.8
2,back six,queens university belfast,109.8
3,bu and a half men,bournemouth university,109.8
4,durham defenders,durham university,109.8
5,elo recovery service,university of southampton,109.8
6,free range chickens,university of gloucestershire,109.8
7,g12,university of glasgow,109.8
8,kcl lions,kings college london,109.8
9,newclapped,newcastle university,109.8
10,panopto esports,imperial college london,109.8
11,qubers,queens university belfast,109.8
12,rush bee,university of manchester,109.8
13,slugsblack,university of sheffield,109.8
14,swansea storm and the taco strikes back,swansea university,109.8
15,team four,university of southampton,109.8
16,trent thunder diamond,nottingham trent university,109.8
17,ucl overlords,university college london,109.8
18,uea bluejays,university of east anglia,109.8
19,uob esports alpha,university of birmingham,109.8
20,uwe sea stags,university of the west of england,109.8
21,vanix esports,staffordshire university,109.8
22,warwick sketchyboiz,university of warwick,109.8
23,warwick stretchyboiz reborn,university of warwick,109.8
24,0161 is how many bullets we need to kill,university of manchester,82.0
25,falmouth phoenix a,fxu (falmouth & exeter student's union),80.0
26,half natty head tappers2,lancaster university,78.0
27,notts for glory 1,university of nottingham,76.0
28,aston archangels csgo,aston university,74.0
29,subs in the tub,university of bath,72.0
30,surrey stags,university of surrey,70.0
31,uwe sea stags black,university of the west of england,68.0
32,john moores cheese smelling boars,liverpool john moores university,66.0
33,leeds gryphons team 1,university of leeds,64.0
34,strathers,university of strathclyde,62.0
35,leeds gryphons,university of leeds,60.0
36,you shall not bath,university of bath,58.0
37,knights of reading,university of reading,56.0
38,bristol baked beens,university of bristol,54.0
39,derbados,university of derby,52.0
40,swansea storm blue,swansea university,50.0
41,royal bears csgo,royal holloway university of london,49.0
42,brexeter,university of exeter,48.0
43,ibuymealdeals,university of leicester,47.0
44,csthrow,university of southampton,46.0
45,watt wyverns,heriot watt university,45.0
46,uorejects,university of gloucestershire,44.0
47,ljmu gaming,liverpool john moores university,43.0
48,nottingham trent emerald,nottingham trent university,42.0
49,kcl cubs,kings college london,41.0
50,kebab rush a reloaded,coventry university,40.0
51,lancaster team two,lancaster university,39.0
52,uol b team,university of lincoln,38.0
53,leeds gryphons team 3,university of leeds,37.0
54,bcu tbd,birmingham city university,36.0
55,south bank elephants csgo team,london south bank university,35.0
56,showerheads,university of bath,34.0
57,sussex sharks1,university of sussex,33.0
58,the penguins of madagascar,staffordshire university,32.0
59,durham blaze,durham university,31.0
