,Aberystwyth University,Anglia Ruskin University,Aston University,Bangor University,Bath Spa University,Birmingham City University,Bournemouth University,Brunel University,Cardiff Metropolitan University,Cardiff University,City University Of London,Coventry University,De Montfort University,Durham University,Edge Hill University,FXU (Falmouth & Exeter Student's Union),Glasgow Caledonian University,Heriot Watt University,Imperial College London,Keele University,Kings College London,Kingston University,Lancaster University,Leeds Beckett University,Leeds Conservatoire,Leeds Trinity University,Liverpool John Moores University,London South Bank University,Loughborough University,Manchester Metropolitan University,Middlesex University,Newcastle University,Northumbria University,Nottingham Trent University,Oxford Brookes University,Oxford University,Queen Margaret University,Queen Mary University Of London,Queens University Belfast,Roehampton University,Royal Holloway University Of London,School Of Oriental And African Studies,Sheffield Hallam University,Southampton Solent University,Staffordshire University,Swansea University,Teesside University,Ulster University,University College London,University Of Abertay Dundee,University Of Bath,University Of Bedfordshire,University Of Birmingham,University Of Brighton,University Of Bristol,University Of Cambridge,University Of Chichester,University Of Derby,University Of Dundee,University of East Anglia,University Of Edinburgh,University Of Essex,University Of Exeter,University Of Glasgow,University Of Gloucestershire,University of Greenwich,University Of Hertfordshire,University Of Huddersfield,University Of Hull,University Of Kent,University Of Leeds,University Of Leicester,University Of Lincoln,University Of Liverpool,University Of Manchester,University Of Northampton,University Of Nottingham,University Of Plymouth,University Of Portsmouth,University Of Reading,University Of Salford,University Of Sheffield,University Of Southampton,University Of St Andrews,University Of Stirling,University Of Strathclyde,University Of Suffolk,University Of Sunderland,University Of Surrey,University Of Sussex,University Of The Arts London,University Of The West Of England,University Of Warwick,University Of West London,University Of Westminster,University Of Winchester,University Of York,York St John University
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,2,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,2,1,0,1,0,0,1,0,1,0,3,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,1,1,1,0,1,2,0,0,0,1,1
2,3,0,2,4,0,1,0,3,1,2,2,2,3,3,0,2,1,3,2,2,2,1,4,2,2,0,0,1,3,0,2,0,0,3,5,1,0,3,0,6,3,2,3,0,6,4,3,0,1,1,2,3,0,1,0,1,1,3,0,3,0,3,1,0,2,0,3,0,2,3,0,2,3,0,3,2,2,0,4,3,0,2,1,0,2,0,0,1,1,3,0,1,3,0,2,0,3,3
3,3,0,5,8,0,1,0,9,1,5,5,2,6,6,0,2,4,6,5,2,7,1,7,2,2,0,0,1,6,3,2,0,0,6,8,4,0,6,3,8,6,5,3,3,13,9,6,0,1,1,2,3,3,1,3,4,1,6,3,4,0,4,4,0,5,0,3,0,2,6,3,5,7,0,9,5,5,3,10,3,0,2,4,0,2,3,0,1,4,6,0,7,7,3,5,0,3,6
4,3,0,5,11,0,5,0,16,1,13,5,2,8,10,0,2,4,7,5,2,10,1,9,6,6,0,0,5,10,7,2,8,0,7,10,8,0,10,7,10,10,5,3,3,20,16,10,0,1,5,6,3,3,1,3,4,1,10,3,8,0,8,4,0,5,0,7,0,2,6,6,9,11,4,14,9,9,3,13,7,0,6,4,0,2,3,0,1,8,10,0,11,10,7,5,4,7,6
5,8,5,5,11,0,5,0,24,1,20,10,2,18,11,5,7,4,7,10,7,10,1,14,6,6,0,0,5,19,10,2,12,0,12,15,11,0,10,7,15,10,5,8,3,29,21,12,5,1,10,6,8,8,1,13,9,1,10,8,8,0,13,9,5,5,5,12,0,7,11,11,13,14,13,17,14,14,13,14,12,0,11,4,0,2,3,0,1,13,15,0,16,15,7,5,4,12,6
6,8,5,5,11,0,5,12,29,1,24,16,8,23,11,11,7,4,7,15,13,10,1,14,12,6,6,0,11,25,16,2,18,0,18,21,11,0,16,13,15,16,5,13,3,34,31,12,5,1,10,6,8,8,1,18,14,1,10,13,8,0,19,15,5,5,5,18,0,7,17,11,19,20,19,17,14,26,18,14,18,6,15,4,6,2,3,0,1,13,24,0,19,21,7,11,4,17,6
7,8,12,12,11,0,5,25,36,1,38,21,8,30,11,17,7,4,7,15,20,10,1,14,12,6,6,0,11,32,23,2,24,0,25,28,18,0,16,19,15,23,5,20,3,35,45,19,12,1,10,6,15,15,1,25,14,1,10,13,8,0,26,15,5,5,5,25,0,7,29,11,19,26,26,17,14,33,18,21,18,6,22,11,6,2,3,0,1,13,30,0,26,28,7,18,11,24,6
8,8,12,12,19,0,13,31,44,1,45,21,8,30,11,17,7,4,7,23,20,10,1,14,12,6,6,0,11,40,29,2,24,0,25,33,25,8,16,19,23,31,5,28,3,43,59,19,12,9,10,6,15,23,1,25,14,9,10,13,16,0,26,23,21,5,5,25,0,7,36,11,19,34,31,17,14,39,18,29,18,14,30,11,6,2,3,0,1,13,38,0,34,41,7,18,11,32,6
9,17,12,12,19,0,13,31,52,1,45,21,17,30,20,26,7,4,7,32,20,19,1,14,12,6,6,0,11,45,29,2,24,0,25,42,25,8,16,28,32,37,5,37,3,43,66,19,12,18,10,6,15,31,1,25,14,9,10,13,25,0,26,23,29,5,5,25,0,7,36,20,19,43,31,35,14,39,18,38,18,14,30,20,6,2,3,0,1,22,38,0,41,49,7,18,11,32,6
