Rush Bee,University Of Manchester,150
Team Four,University Of Southampton,140
g12,University Of Glasgow,135
Falmouth Phoenix A,FXU (Falmouth & Exeter Student's Union),130
SLUGSBlack,University Of Sheffield,127
UoB Esports Alpha,University Of Birmingham,124
Swansea Storm and the Taco Strikes Back,Swansea University,121
UWE Sea Stags,University Of The West Of England,118
Vanix Esports,Staffordshire University,116
Back Six,Queens University Belfast,114
KCL Lions,Kings College London,112
Newclapped,Newcastle University,110
UCL Overlords,University College London,108
aegisks whizz kidz,University Of York,106
Bristol Baked Beens,University Of Bristol,104
Remember the blanket,University Of Chichester,102
,,
Durham Defenders,Durham University,100
Warwick Stretchyboiz Reborn,University Of Warwick,98
Panopto eSports,Imperial College London,96
ENDLESS,University Of Essex,94
Free Range Chickens,University Of Gloucestershire,92
Elo Recovery Service,University Of Southampton,90
BU Bad bois,Bournemouth University,88
StratherS,University Of Strathclyde,86
UWE Sea Stags Black,University Of The West Of England,84
aimbridge,University Of Cambridge,82
Soton Savages,University Of Southampton,80
Brunel A,Brunel University,78
You Shall Not Bath,University Of Bath,76
Keele Krakens A,Keele University,74
Hoodersfeeyald Hoonds,University Of Huddersfield,72
Royal Bears CSGO,Royal Holloway University Of London,70
,,
City Esports,City University Of London,68
Warwick Sketchyboiz Academy,University Of Warwick,66
UEA Bluejays,University of East Anglia,64
Notts For Glory 1,University Of Nottingham,62
Warwick Sketchyboiz,University Of Warwick,60
Leeds Gryphons Team 3,University Of Leeds,58
Cardiff Crusaders,Cardiff University,56
Sussex Sharks1,University Of Sussex,54
Watt Wyverns,Heriot Watt University,52
Nottingham Trent Emerald,Nottingham Trent University,50
Aston Archangels CSGO,Aston University,49
The Penguins Of Madagascar,Staffordshire University,48
Surrey Stags,University Of Surrey,47
Swansea Storm Black,Swansea University,46
Portsmouth Paladins,University Of Portsmouth,45
Swansea Storm Blue,Swansea University,44
,,
StratherS B,University Of Strathclyde,43
CSThrow,University Of Southampton,42
Brexeter,University of Exeter,41
UOL B Team,University Of Lincoln,40
