,Aberystwyth University,Anglia Ruskin University,Aston University,Bangor University,Bath Spa University,Birmingham City University,Bournemouth University,Brunel University,Cardiff Metropolitan University,Cardiff University,City University Of London,Coventry University,De Montfort University,Durham University,Edge Hill University,FXU (Falmouth & Exeter Student's Union),Glasgow Caledonian University,Heriot Watt University,Imperial College London,Keele University,Kings College London,Kingston University,Lancaster University,Leeds Beckett University,Leeds Conservatoire,Leeds Trinity University,Liverpool John Moores University,London South Bank University,Loughborough University,Manchester Metropolitan University,Middlesex University,Newcastle University,Northumbria University,Nottingham Trent University,Oxford Brookes University,Oxford University,Queen Margaret University,Queen Mary University Of London,Queens University Belfast,Roehampton University,Royal Holloway University Of London,School Of Oriental And African Studies,Sheffield Hallam University,Southampton Solent University,Staffordshire University,Swansea University,Teesside University,Ulster University,University College London,University Of Abertay Dundee,University Of Bath,University Of Bedfordshire,University Of Birmingham,University Of Brighton,University Of Bristol,University Of Cambridge,University Of Chichester,University Of Derby,University Of Dundee,University of East Anglia,University Of Edinburgh,University Of Essex,University Of Exeter,University Of Glasgow,University Of Gloucestershire,University of Greenwich,University Of Hertfordshire,University Of Huddersfield,University Of Hull,University Of Kent,University Of Leeds,University Of Leicester,University Of Lincoln,University Of Liverpool,University Of Manchester,University Of Northampton,University Of Nottingham,University Of Plymouth,University Of Portsmouth,University Of Reading,University Of Salford,University Of Sheffield,University Of Southampton,University Of St Andrews,University Of Stirling,University Of Strathclyde,University Of Suffolk,University Of Sunderland,University Of Surrey,University Of Sussex,University Of The Arts London,University Of The West Of England,University Of Warwick,University Of West London,University Of Westminster,University Of Winchester,University Of York,York St John University
0,17,12,12,29,0,13,31,52,1,45,21,36,30,20,26,17,4,7,50,20,19,1,14,12,6,6,10,11,45,29,2,24,10,35,42,35,8,16,28,32,37,5,47,3,73,76,29,12,38,10,6,15,41,1,25,24,9,10,13,25,0,36,33,29,5,5,25,0,7,36,20,19,43,31,54,14,39,18,47,18,14,30,30,6,2,3,10,1,22,48,0,51,49,7,28,11,42,6
1,56,12,61,98,11,45,49,99,0,54,0,117,20,93,15,13,0,48,29,33,131,0,111,0,0,0,0,40,91,62,17,74,46,59,19,18,0,23,25,27,72,0,36,0,109,60,17,0,26,45,102,0,113,41,74,50,25,14,0,74,20,13,82,70,0,0,12,0,13,115,61,38,70,0,62,58,79,20,20,58,24,59,69,19,0,19,0,30,115,59,0,89,157,36,35,0,37,27
2,0,24,74,22,0,0,27,76,0,73,0,106,0,104,0,52,46,29,155,56,98,0,50,0,0,0,26,27,133,23,0,69,0,201,52,57,0,0,50,49,23,0,26,0,74,68,29,0,77,26,42,0,55,46,90,0,50,26,0,99,29,72,0,50,0,0,55,0,25,100,48,51,27,0,131,49,125,109,75,76,0,75,93,0,0,0,0,0,28,26,0,76,279,0,53,0,211,26
3,0,0,0,0,0,31,72,68,0,72,0,0,0,36,0,0,66,35,75,0,39,0,108,0,0,0,36,38,137,37,32,39,0,69,70,0,0,0,0,0,39,0,0,0,72,65,0,31,0,0,0,0,40,0,71,0,31,0,35,38,0,0,39,0,0,0,37,0,0,32,72,37,40,0,0,0,36,0,35,104,0,34,71,0,0,0,0,0,69,0,0,0,35,0,0,0,0,0
4,0,0,93,0,0,0,0,0,42,43,0,0,0,49,0,0,0,44,94,41,46,0,0,0,0,0,0,0,91,0,0,0,0,50,0,0,0,45,44,0,0,0,100,0,89,90,0,0,0,43,88,0,88,0,0,44,0,0,0,50,43,0,138,0,0,0,44,0,0,45,92,93,50,0,0,0,0,0,45,49,50,0,132,135,0,87,0,0,47,0,0,94,135,0,0,0,47,0
5,0,0,0,0,0,0,52,56,0,56,0,52,0,59,0,0,0,52,0,0,0,0,55,0,0,0,0,54,0,0,0,0,56,55,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,59,0,60,0,0,167,52,59,0,0,0,0,0,0,0,0,54,0,0,0,58,0,56,0,58,0,0,0,0,0,54,0,0,0,0,0,0,0,0,109,0,120,60,0,0,0,0,0
6,64,0,69,0,0,0,0,0,0,68,68,0,0,0,0,0,0,0,0,65,0,0,69,0,0,0,0,0,192,0,0,64,70,69,0,0,0,0,0,0,70,0,0,0,133,65,0,0,0,0,0,0,64,0,0,0,0,69,0,132,0,0,68,0,0,0,0,0,0,0,69,0,0,0,0,0,62,0,68,0,0,0,0,0,0,0,0,0,0,134,69,0,66,0,0,0,65,0
7,0,0,0,0,0,0,0,78,0,80,0,0,0,151,0,0,0,0,0,74,0,0,0,0,0,0,0,0,75,72,0,0,0,0,0,0,0,0,0,149,0,0,0,0,72,0,75,0,76,80,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,75,0,76,75,0,0,0,0,0,80,0,78,152,0,72,0,0,0,0,76,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,88,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,87,0,0,88,0,0,0,0,0,0,0,0,0,170,0,0,0,81,0,0,0,0,0,81,82,0,0,0,0,84,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,168,0,167,0,81,90,90,0,0,86,0,0,0,0,0,172,85,0,0,0,85,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,99,96,0,0,0,100,0,0,0,186,0,0,0,0,96,0,100,91,0,0,97,92,0,0,0,0,0,91,97,0,0,0,95,0,0,92,0,96,0,0,0,0,0,0,185,196,0,92,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,97,92,99,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0
