HE provider,First year marker,Level of study,Mode of study,Category marker,Category,Number
Abertay University,All,All,All,Total,Total,4280
Aberystwyth University,All,All,All,Total,Total,7720
AECC University College,All,All,All,Total,Total,715
Anglia Ruskin University,All,All,All,Total,Total,26715
Aston University,All,All,All,Total,Total,15385
Bangor University,All,All,All,Total,Total,9945
Bath Spa University,All,All,All,Total,Total,8450
Birkbeck College,All,All,All,Total,Total,11425
Birmingham City University,All,All,All,Total,Total,26930
Bishop Grosseteste University,All,All,All,Total,Total,2280
Bournemouth University,All,All,All,Total,Total,17390
Brunel University London,All,All,All,Total,Total,15520
Buckinghamshire New University,All,All,All,Total,Total,14075
Canterbury Christ Church University,All,All,All,Total,Total,13340
Cardiff Metropolitan University,All,All,All,Total,Total,10920
Cardiff University,All,All,All,Total,Total,33260
"City, University of London",All,All,All,Total,Total,19975
Conservatoire for Dance and Drama,All,All,All,Total,Total,1000
Courtauld Institute of Art,All,All,All,Total,Total,545
Coventry University,All,All,All,Total,Total,38430
Cranfield University,All,All,All,Total,Total,4825
De Montfort University,All,All,All,Total,Total,29000
Edge Hill University,All,All,All,Total,Total,13560
Edinburgh Napier University,All,All,All,Total,Total,13930
Falmouth University,All,All,All,Total,Total,6245
Glasgow Caledonian University,All,All,All,Total,Total,17540
Glasgow School of Art,All,All,All,Total,Total,2380
Glynd?r University,All,All,All,Total,Total,6045
Goldsmiths College,All,All,All,Total,Total,10090
Gower College Swansea,All,All,All,Total,Total,110
Gr?p Llandrillo Menai,All,All,All,Total,Total,1300
Gr?p NPTC Group,All,All,All,Total,Total,170
Guildhall School of Music and Drama,All,All,All,Total,Total,1060
Harper Adams University,All,All,All,Total,Total,4680
Hartpury University,All,All,All,Total,Total,1995
Heriot-Watt University,All,All,All,Total,Total,11155
"Imperial College of Science, Technology and Medicine",All,All,All,Total,Total,19400
Keele University,All,All,All,Total,Total,10880
King's College London,All,All,All,Total,Total,33110
Kingston University,All,All,All,Total,Total,18070
LAMDA Limited,All,All,All,Total,Total,325
Leeds Arts University,All,All,All,Total,Total,2145
Leeds Beckett University,All,All,All,Total,Total,23290
Leeds Conservatoire,All,All,All,Total,Total,1300
Leeds Trinity University,All,All,All,Total,Total,4985
Liverpool Hope University,All,All,All,Total,Total,4985
Liverpool John Moores University,All,All,All,Total,Total,25050
Liverpool School of Tropical Medicine,All,All,All,Total,Total,345
London Business School,All,All,All,Total,Total,2305
London Metropolitan University,All,All,All,Total,Total,10390
London School of Economics and Political Science,All,All,All,Total,Total,12050
London School of Hygiene and Tropical Medicine,All,All,All,Total,Total,1090
London South Bank University,All,All,All,Total,Total,16840
Loughborough University,All,All,All,Total,Total,18295
Middlesex University,All,All,All,Total,Total,20175
Newcastle University,All,All,All,Total,Total,28070
Newman University,All,All,All,Total,Total,2795
Norwich University of the Arts,All,All,All,Total,Total,2360
Oxford Brookes University,All,All,All,Total,Total,16900
Plymouth College of Art,All,All,All,Total,Total,1305
"Queen Margaret University, Edinburgh",All,All,All,Total,Total,5130
Queen Mary University of London,All,All,All,Total,Total,21665
Queen's University Belfast,All,All,All,Total,Total,24915
Ravensbourne University London,All,All,All,Total,Total,2535
Robert Gordon University,All,All,All,Total,Total,12660
Roehampton University,All,All,All,Total,Total,12495
Rose Bruford College of Theatre and Performance,All,All,All,Total,Total,735
Royal Academy of Dramatic Art,All,All,All,Total,Total,220
Royal Academy of Music,All,All,All,Total,Total,860
Royal Agricultural University,All,All,All,Total,Total,1125
Royal College of Art,All,All,All,Total,Total,2645
Royal College of Music,All,All,All,Total,Total,890
Royal Conservatoire of Scotland,All,All,All,Total,Total,1220
Royal Holloway and Bedford New College,All,All,All,Total,Total,11530
Royal Northern College of Music,All,All,All,Total,Total,890
Sheffield Hallam University,All,All,All,Total,Total,30960
SOAS University of London,All,All,All,Total,Total,5795
Solent University,All,All,All,Total,Total,10510
SRUC,All,All,All,Total,Total,1570
"St George's, University of London",All,All,All,Total,Total,4330
St Mary's University College,All,All,All,Total,Total,1045
"St Mary's University, Twickenham",All,All,All,Total,Total,5520
Staffordshire University,All,All,All,Total,Total,15675
Stranmillis University College,All,All,All,Total,Total,1210
Swansea University,All,All,All,Total,Total,20375
Teesside University,All,All,All,Total,Total,19290
The Arts University Bournemouth,All,All,All,Total,Total,3445
The Institute of Cancer Research,All,All,All,Total,Total,280
The Liverpool Institute for Performing Arts,All,All,All,Total,Total,885
The Manchester Metropolitan University,All,All,All,Total,Total,33420
The National Film and Television School,All,All,All,Total,Total,495
The Nottingham Trent University,All,All,All,Total,Total,35785
The Open University,All,All,All,Total,Total,129420
The Royal Central School of Speech and Drama,All,All,All,Total,Total,1100
The Royal Veterinary College,All,All,All,Total,Total,2510
The University College of Osteopathy,All,All,All,Total,Total,465
The University of Aberdeen,All,All,All,Total,Total,15185
The University of Bath,All,All,All,Total,Total,18560
The University of Birmingham,All,All,All,Total,Total,35760
The University of Bolton,All,All,All,Total,Total,8175
The University of Bradford,All,All,All,Total,Total,9770
The University of Brighton,All,All,All,Total,Total,18985
The University of Bristol,All,All,All,Total,Total,27375
The University of Buckingham,All,All,All,Total,Total,3100
The University of Cambridge,All,All,All,Total,Total,21340
The University of Central Lancashire,All,All,All,Total,Total,24715
The University of Chichester,All,All,All,Total,Total,5545
The University of Dundee,All,All,All,Total,Total,16270
The University of East Anglia,All,All,All,Total,Total,18035
The University of East London,All,All,All,Total,Total,15355
The University of Edinburgh,All,All,All,Total,Total,35375
The University of Essex,All,All,All,Total,Total,16530
The University of Exeter,All,All,All,Total,Total,26935
The University of Glasgow,All,All,All,Total,Total,32465
The University of Greenwich,All,All,All,Total,Total,19825
The University of Huddersfield,All,All,All,Total,Total,17305
The University of Hull,All,All,All,Total,Total,14255
The University of Kent,All,All,All,Total,Total,18710
The University of Lancaster,All,All,All,Total,Total,15665
The University of Leeds,All,All,All,Total,Total,36330
The University of Leicester,All,All,All,Total,Total,16180
The University of Lincoln,All,All,All,Total,Total,16425
The University of Liverpool,All,All,All,Total,Total,29600
The University of Manchester,All,All,All,Total,Total,40485
The University of Northampton,All,All,All,Total,Total,12060
The University of Oxford,All,All,All,Total,Total,25910
The University of Portsmouth,All,All,All,Total,Total,26775
The University of Reading,All,All,All,Total,Total,18735
The University of Salford,All,All,All,Total,Total,21500
The University of Sheffield,All,All,All,Total,Total,30055
The University of Southampton,All,All,All,Total,Total,22665
The University of St Andrews,All,All,All,Total,Total,10535
The University of Stirling,All,All,All,Total,Total,12540
The University of Strathclyde,All,All,All,Total,Total,24330
The University of Sunderland,All,All,All,Total,Total,15740
The University of Surrey,All,All,All,Total,Total,16990
The University of Sussex,All,All,All,Total,Total,19395
The University of the West of Scotland,All,All,All,Total,Total,16105
The University of Warwick,All,All,All,Total,Total,26825
The University of West London,All,All,All,Total,Total,11985
The University of Westminster,All,All,All,Total,Total,19470
The University of Winchester,All,All,All,Total,Total,8000
The University of Wolverhampton,All,All,All,Total,Total,18875
The University of York,All,All,All,Total,Total,19790
Trinity Laban Conservatoire of Music and Dance,All,All,All,Total,Total,1250
Ulster University,All,All,All,Total,Total,27680
University College Birmingham,All,All,All,Total,Total,4930
University College London,All,All,All,Total,Total,41095
University for the Creative Arts,All,All,All,Total,Total,6765
University of Bedfordshire,All,All,All,Total,Total,16725
University of Chester,All,All,All,Total,Total,13545
University of Cumbria,All,All,All,Total,Total,7945
University of Derby,All,All,All,Total,Total,19685
University of Durham,All,All,All,Total,Total,19520
University of Gloucestershire,All,All,All,Total,Total,7915
University of Hertfordshire,All,All,All,Total,Total,25520
University of London (Institutes and activities),All,All,All,Total,Total,330
University of Northumbria at Newcastle,All,All,All,Total,Total,28325
University of Nottingham,All,All,All,Total,Total,34840
University of Plymouth,All,All,All,Total,Total,18410
University of South Wales,All,All,All,Total,Total,23090
University of St Mark and St John,All,All,All,Total,Total,2750
University of Suffolk,All,All,All,Total,Total,9565
"University of the Arts, London",All,All,All,Total,Total,19965
University of the Highlands and Islands,All,All,All,Total,Total,9905
"University of the West of England, Bristol",All,All,All,Total,Total,30680
University of Wales Trinity Saint David,All,All,All,Total,Total,12700
University of Worcester,All,All,All,Total,Total,10180
Writtle University College,All,All,All,Total,Total,765
York St John University,All,All,All,Total,Total,7000
