HE provider,First year marker,Level of study,Mode of study,Category marker,Category,Female Students
Abertay University,All,All,All,Sex,Female,2060
Aberystwyth University,All,All,All,Sex,Female,4215
AECC University College,All,All,All,Sex,Female,335
Anglia Ruskin University,All,All,All,Sex,Female,16700
Aston University,All,All,All,Sex,Female,7385
Bangor University,All,All,All,Sex,Female,6025
Bath Spa University,All,All,All,Sex,Female,5805
Birkbeck College,All,All,All,Sex,Female,6445
Birmingham City University,All,All,All,Sex,Female,16875
Bishop Grosseteste University,All,All,All,Sex,Female,1820
Bournemouth University,All,All,All,Sex,Female,9265
Brunel University London,All,All,All,Sex,Female,7235
Buckinghamshire New University,All,All,All,Sex,Female,7340
Canterbury Christ Church University,All,All,All,Sex,Female,9210
Cardiff Metropolitan University,All,All,All,Sex,Female,5905
Cardiff University,All,All,All,Sex,Female,19680
"City, University of London",All,All,All,Sex,Female,11400
Conservatoire for Dance and Drama,All,All,All,Sex,Female,705
Courtauld Institute of Art,All,All,All,Sex,Female,450
Coventry University,All,All,All,Sex,Female,18480
Cranfield University,All,All,All,Sex,Female,1375
De Montfort University,All,All,All,Sex,Female,15855
Edge Hill University,All,All,All,Sex,Female,9420
Edinburgh Napier University,All,All,All,Sex,Female,7630
Falmouth University,All,All,All,Sex,Female,3635
Glasgow Caledonian University,All,All,All,Sex,Female,10185
Glasgow School of Art,All,All,All,Sex,Female,1570
Glynd?r University,All,All,All,Sex,Female,3585
Goldsmiths College,All,All,All,Sex,Female,6665
Gower College Swansea,All,All,All,Sex,Female,60
Gr?p Llandrillo Menai,All,All,All,Sex,Female,785
Gr?p NPTC Group,All,All,All,Sex,Female,35
Guildhall School of Music and Drama,All,All,All,Sex,Female,535
Harper Adams University,All,All,All,Sex,Female,2455
Hartpury University,All,All,All,Sex,Female,1330
Heriot-Watt University,All,All,All,Sex,Female,4475
"Imperial College of Science, Technology and Medicine",All,All,All,Sex,Female,7885
Keele University,All,All,All,Sex,Female,6510
King's College London,All,All,All,Sex,Female,20825
Kingston University,All,All,All,Sex,Female,10255
LAMDA Limited,All,All,All,Sex,Female,190
Leeds Arts University,All,All,All,Sex,Female,1630
Leeds Beckett University,All,All,All,Sex,Female,12890
Leeds Conservatoire,All,All,All,Sex,Female,430
Leeds Trinity University,All,All,All,Sex,Female,3045
Liverpool Hope University,All,All,All,Sex,Female,3370
Liverpool John Moores University,All,All,All,Sex,Female,13585
Liverpool School of Tropical Medicine,All,All,All,Sex,Female,225
London Business School,All,All,All,Sex,Female,850
London Metropolitan University,All,All,All,Sex,Female,6680
London School of Economics and Political Science,All,All,All,Sex,Female,6585
London School of Hygiene and Tropical Medicine,All,All,All,Sex,Female,755
London South Bank University,All,All,All,Sex,Female,9460
Loughborough University,All,All,All,Sex,Female,7500
Middlesex University,All,All,All,Sex,Female,11580
Newcastle University,All,All,All,Sex,Female,14650
Newman University,All,All,All,Sex,Female,2110
Norwich University of the Arts,All,All,All,Sex,Female,1435
Oxford Brookes University,All,All,All,Sex,Female,10040
Plymouth College of Art,All,All,All,Sex,Female,955
"Queen Margaret University, Edinburgh",All,All,All,Sex,Female,3955
Queen Mary University of London,All,All,All,Sex,Female,11815
Queen's University Belfast,All,All,All,Sex,Female,14330
Ravensbourne University London,All,All,All,Sex,Female,1250
Robert Gordon University,All,All,All,Sex,Female,7770
Roehampton University,All,All,All,Sex,Female,7970
Rose Bruford College of Theatre and Performance,All,All,All,Sex,Female,445
Royal Academy of Dramatic Art,All,All,All,Sex,Female,120
Royal Academy of Music,All,All,All,Sex,Female,425
Royal Agricultural University,All,All,All,Sex,Female,590
Royal College of Art,All,All,All,Sex,Female,1805
Royal College of Music,All,All,All,Sex,Female,465
Royal Conservatoire of Scotland,All,All,All,Sex,Female,705
Royal Holloway and Bedford New College,All,All,All,Sex,Female,6595
Royal Northern College of Music,All,All,All,Sex,Female,440
Sheffield Hallam University,All,All,All,Sex,Female,17110
SOAS University of London,All,All,All,Sex,Female,3820
Solent University,All,All,All,Sex,Female,4795
SRUC,All,All,All,Sex,Female,880
"St George's, University of London",All,All,All,Sex,Female,2815
St Mary's University College,All,All,All,Sex,Female,755
"St Mary's University, Twickenham",All,All,All,Sex,Female,2905
Staffordshire University,All,All,All,Sex,Female,7545
Stranmillis University College,All,All,All,Sex,Female,970
Swansea University,All,All,All,Sex,Female,9760
Teesside University,All,All,All,Sex,Female,10580
The Arts University Bournemouth,All,All,All,Sex,Female,2380
The Institute of Cancer Research,All,All,All,Sex,Female,180
The Liverpool Institute for Performing Arts,All,All,All,Sex,Female,500
The Manchester Metropolitan University,All,All,All,Sex,Female,19470
The National Film and Television School,All,All,All,Sex,Female,260
The Nottingham Trent University,All,All,All,Sex,Female,19745
The Open University,All,All,All,Sex,Female,80520
The Open University,All,All,All,Sex,Female,2420
The Open University,All,All,All,Sex,Female,11000
The Open University,All,All,All,Sex,Female,60410
The Open University,All,All,All,Sex,Female,6690
The Royal Central School of Speech and Drama,All,All,All,Sex,Female,755
The Royal Veterinary College,All,All,All,Sex,Female,1995
The University College of Osteopathy,All,All,All,Sex,Female,260
The University of Aberdeen,All,All,All,Sex,Female,8855
