HE provider,First year marker,Level of study,Mode of study,Category marker,Category,Male Students
Abertay University,All,All,All,Sex,Male,2220
Aberystwyth University,All,All,All,Sex,Male,3455
AECC University College,All,All,All,Sex,Male,380
Anglia Ruskin University,All,All,All,Sex,Male,9995
Aston University,All,All,All,Sex,Male,8000
Bangor University,All,All,All,Sex,Male,3925
Bath Spa University,All,All,All,Sex,Male,2640
Birkbeck College,All,All,All,Sex,Male,4955
Birmingham City University,All,All,All,Sex,Male,10030
Bishop Grosseteste University,All,All,All,Sex,Male,455
Bournemouth University,All,All,All,Sex,Male,8090
Brunel University London,All,All,All,Sex,Male,8250
Buckinghamshire New University,All,All,All,Sex,Male,6730
Canterbury Christ Church University,All,All,All,Sex,Male,4125
Cardiff Metropolitan University,All,All,All,Sex,Male,5015
Cardiff University,All,All,All,Sex,Male,13530
"City, University of London",All,All,All,Sex,Male,8570
Conservatoire for Dance and Drama,All,All,All,Sex,Male,290
Courtauld Institute of Art,All,All,All,Sex,Male,90
Coventry University,All,All,All,Sex,Male,19920
Cranfield University,All,All,All,Sex,Male,3450
De Montfort University,All,All,All,Sex,Male,13100
Edge Hill University,All,All,All,Sex,Male,4140
Edinburgh Napier University,All,All,All,Sex,Male,6300
Falmouth University,All,All,All,Sex,Male,2545
Glasgow Caledonian University,All,All,All,Sex,Male,7350
Glasgow School of Art,All,All,All,Sex,Male,765
Glynd?r University,All,All,All,Sex,Male,2450
Goldsmiths College,All,All,All,Sex,Male,3395
Gower College Swansea,All,All,All,Sex,Male,50
Gr?p Llandrillo Menai,All,All,All,Sex,Male,515
Gr?p NPTC Group,All,All,All,Sex,Male,135
Guildhall School of Music and Drama,All,All,All,Sex,Male,515
Harper Adams University,All,All,All,Sex,Male,2225
Hartpury University,All,All,All,Sex,Male,665
Heriot-Watt University,All,All,All,Sex,Male,6680
"Imperial College of Science, Technology and Medicine",All,All,All,Sex,Male,11510
Keele University,All,All,All,Sex,Male,4360
King's College London,All,All,All,Sex,Male,11715
Kingston University,All,All,All,Sex,Male,7740
LAMDA Limited,All,All,All,Sex,Male,130
Leeds Arts University,All,All,All,Sex,Male,510
Leeds Beckett University,All,All,All,Sex,Male,10400
Leeds Conservatoire,All,All,All,Sex,Male,870
Leeds Trinity University,All,All,All,Sex,Male,1940
Liverpool Hope University,All,All,All,Sex,Male,1595
Liverpool John Moores University,All,All,All,Sex,Male,11465
Liverpool School of Tropical Medicine,All,All,All,Sex,Male,115
London Business School,All,All,All,Sex,Male,1460
London Metropolitan University,All,All,All,Sex,Male,3705
London School of Economics and Political Science,All,All,All,Sex,Male,5450
London School of Hygiene and Tropical Medicine,All,All,All,Sex,Male,335
London South Bank University,All,All,All,Sex,Male,7370
Loughborough University,All,All,All,Sex,Male,10795
Middlesex University,All,All,All,Sex,Male,8595
Newcastle University,All,All,All,Sex,Male,13375
Newman University,All,All,All,Sex,Male,680
Norwich University of the Arts,All,All,All,Sex,Male,895
Oxford Brookes University,All,All,All,Sex,Male,6835
Plymouth College of Art,All,All,All,Sex,Male,355
"Queen Margaret University, Edinburgh",All,All,All,Sex,Male,1160
Queen Mary University of London,All,All,All,Sex,Male,9840
Queen's University Belfast,All,All,All,Sex,Male,10585
Ravensbourne University London,All,All,All,Sex,Male,1280
Robert Gordon University,All,All,All,Sex,Male,4880
Roehampton University,All,All,All,Sex,Male,4510
Rose Bruford College of Theatre and Performance,All,All,All,Sex,Male,290
Royal Academy of Dramatic Art,All,All,All,Sex,Male,100
Royal Academy of Music,All,All,All,Sex,Male,435
Royal Agricultural University,All,All,All,Sex,Male,535
Royal College of Art,All,All,All,Sex,Male,835
Royal College of Music,All,All,All,Sex,Male,420
Royal Conservatoire of Scotland,All,All,All,Sex,Male,515
Royal Holloway and Bedford New College,All,All,All,Sex,Male,4935
Royal Northern College of Music,All,All,All,Sex,Male,445
Sheffield Hallam University,All,All,All,Sex,Male,13850
SOAS University of London,All,All,All,Sex,Male,1965
Solent University,All,All,All,Sex,Male,5715
SRUC,All,All,All,Sex,Male,685
"St George's, University of London",All,All,All,Sex,Male,1510
St Mary's University College,All,All,All,Sex,Male,290
"St Mary's University, Twickenham",All,All,All,Sex,Male,2610
Staffordshire University,All,All,All,Sex,Male,8120
Stranmillis University College,All,All,All,Sex,Male,240
Swansea University,All,All,All,Sex,Male,10615
Teesside University,All,All,All,Sex,Male,8700
The Arts University Bournemouth,All,All,All,Sex,Male,1030
The Institute of Cancer Research,All,All,All,Sex,Male,95
The Liverpool Institute for Performing Arts,All,All,All,Sex,Male,380
The Manchester Metropolitan University,All,All,All,Sex,Male,13940
The National Film and Television School,All,All,All,Sex,Male,230
The Nottingham Trent University,All,All,All,Sex,Male,16010
The Open University,All,All,All,Sex,Male,48895
The Open University,All,All,All,Sex,Male,1805
The Open University,All,All,All,Sex,Male,6910
The Open University,All,All,All,Sex,Male,36145
The Open University,All,All,All,Sex,Male,4030
The Royal Central School of Speech and Drama,All,All,All,Sex,Male,335
The Royal Veterinary College,All,All,All,Sex,Male,510
The University College of Osteopathy,All,All,All,Sex,Male,200
The University of Aberdeen,All,All,All,Sex,Male,6315
The University of Bath,All,All,All,Sex,Male,9930
The University of Birmingham,All,All,All,Sex,Male,15100
The University of Bolton,All,All,All,Sex,Male,3225
The University of Bradford,All,All,All,Sex,Male,4225
The University of Brighton,All,All,All,Sex,Male,7410
The University of Bristol,All,All,All,Sex,Male,12190
The University of Buckingham,All,All,All,Sex,Male,1480
The University of Cambridge,All,All,All,Sex,Male,11155
The University of Central Lancashire,All,All,All,Sex,Male,10470
The University of Chichester,All,All,All,Sex,Male,2125
The University of Dundee,All,All,All,Sex,Male,5685
The University of East Anglia,All,All,All,Sex,Male,7335
The University of East London,All,All,All,Sex,Male,6545
The University of Edinburgh,All,All,All,Sex,Male,13525
The University of Essex,All,All,All,Sex,Male,7330
The University of Exeter,All,All,All,Sex,Male,12410
The University of Glasgow,All,All,All,Sex,Male,12710
The University of Greenwich,All,All,All,Sex,Male,8630
The University of Huddersfield,All,All,All,Sex,Male,7285
The University of Hull,All,All,All,Sex,Male,6195
The University of Kent,All,All,All,Sex,Male,8570
The University of Lancaster,All,All,All,Sex,Male,7680
The University of Leeds,All,All,All,Sex,Male,14370
The University of Leicester,All,All,All,Sex,Male,7440
The University of Lincoln,All,All,All,Sex,Male,7540
The University of Liverpool,All,All,All,Sex,Male,13325
The University of Manchester,All,All,All,Sex,Male,18135
The University of Northampton,All,All,All,Sex,Male,4550
The University of Oxford,All,All,All,Sex,Male,13040
The University of Portsmouth,All,All,All,Sex,Male,14480
The University of Reading,All,All,All,Sex,Male,8475
The University of Salford,All,All,All,Sex,Male,9730
The University of Sheffield,All,All,All,Sex,Male,13990
The University of Southampton,All,All,All,Sex,Male,10565
The University of St Andrews,All,All,All,Sex,Male,4335
The University of Stirling,All,All,All,Sex,Male,4440
The University of Strathclyde,All,All,All,Sex,Male,11750
The University of Sunderland,All,All,All,Sex,Male,6180
The University of Surrey,All,All,All,Sex,Male,7935
The University of Sussex,All,All,All,Sex,Male,8595
The University of the West of Scotland,All,All,All,Sex,Male,5560
The University of Warwick,All,All,All,Sex,Male,13110
The University of West London,All,All,All,Sex,Male,4750
The University of Westminster,All,All,All,Sex,Male,7815
The University of Winchester,All,All,All,Sex,Male,2660
The University of Wolverhampton,All,All,All,Sex,Male,7100
The University of York,All,All,All,Sex,Male,8735
Total,All,All,All,Sex,Male,1053495
Total,All,All,All,Sex,Male,83425
Total,All,All,All,Sex,Male,62845
Total,All,All,All,Sex,Male,158600
Total,All,All,All,Sex,Male,50675
Total,All,All,All,Sex,Male,101595
Total,All,All,All,Sex,Male,24350
Total,All,All,All,Sex,Male,105530
Total,All,All,All,Sex,Male,152125
Total,All,All,All,Sex,Male,76705
Total,All,All,All,Sex,Male,59355
Total,All,All,All,Sex,Male,93415
Total,All,All,All,Sex,Male,84870
Total,All,All,All,Sex,Male,864260
Trinity Laban Conservatoire of Music and Dance,All,All,All,Sex,Male,415
Ulster University,All,All,All,Sex,Male,11430
University College Birmingham,All,All,All,Sex,Male,1620
University College London,All,All,All,Sex,Male,16555
