Rank,University,Total,Dota 2,CS:GO,Hearthstone,Overwatch,Rocket League,League of Legends
1,University of Warwick,690,136,218,20,48,133,135
2,Loughborough University,430,82,32,39,0,174,103
3,University of Manchester,416,50,60,103,42,20,141
4,Lancaster University,338,84,86,16,52,100,0
5,Swansea University,289,50,107,27,0,95,10
6,Keele University,256,58,36,0,48,59,55
7,University of Southampton,255,17,96,0,38,52,52
8,University of York,251,25,131,0,31,39,25
9,Imperial College London,244,120,0,0,74,50,0
10,Durham University,237,0,0,0,85,90,62
11,University of Nottingham,233,94,0,38,49,7,45
12,University of East Anglia,231,7,57,5,9,1,152
13,Newcastle University,226,47,3,29,51,46,50
14,University of Sussex,219,0,0,100,82,35,2
15,University of Surrey,218,12,66,0,91,8,41
16,University of Leeds,213,33,48,62,70,0,0
17,University of Abertay Dundee,196,0,0,0,84,20,92
18,Coventry University,193,5,43,0,73,0,72
19,Staffordshire University,192,32,3,0,118,39,0
20,King's College London,186,38,27,33,24,47,17
21,University of Birmingham,182,20,2,35,82,12,31
22,University of Reading,177,0,58,22,2,68,27
23,University of Bath,169,45,52,12,14,46,0
24,De Montfort University,165,0,0,0,6,80,79
25,University of Hertfordshire,162,66,43,0,0,20,33
26,Brunel University,161,32,54,0,0,0,75
27,Heriot-Watt University,148,52,6,30,0,0,60
28,University of Cambridge,146,18,32,0,73,3,20
29,University of Bristol,141,108,4,0,29,0,0
30,University of St Andrews,138,2,16,80,5,8,27
31,Oxford University,132,9,0,112,0,7,4
32,University of Portsmouth,122,0,67,0,0,55,0
33,University of Hull,112,6,0,38,6,30,32
33,Bangor University,112,19,0,18,48,0,27
35,University of Derby,104,2,33,0,15,52,2
36,Sheffield Hallam University,99,25,23,0,0,51,0
37,University of Salford,95,0,38,0,0,57,0
38,University of Sheffield,93,93,0,0,0,0,0
39,University of Exeter,87,0,13,0,74,0,0
40,Manchester Metropolitan University,81,0,11,0,25,45,0
40,University of Brighton,81,0,0,0,37,0,44
42,University of Essex,78,0,1,50,0,0,27
43,University College London,71,49,0,0,22,0,0
44,University of Kent,69,0,0,0,57,12,0
45,University of Liverpool,68,11,33,0,0,24,0
46,Bournemouth University,62,0,62,0,0,0,0
47,University of Edinburgh,55,55,0,0,0,0,0
48,Oxford Brookes University,53,0,52,0,1,0,0
49,Nottingham Trent University,49,15,3,0,31,0,0
50,Leeds Beckett University,34,0,0,0,1,0,33
51,"Royal Holloway, University of London",30,0,0,0,0,30,0
51,Cardiff University,30,30,0,0,0,0,0
53,Teesside University,27,27,0,0,0,0,0
54,University of the West of England (UWE),25,0,8,0,0,16,1
55,Aston University,22,0,0,0,15,0,7
56,University of Leicester,21,21,0,0,0,0,0
57,Birmingham City University,20,7,0,3,10,0,0
58,University of Glasgow,19,16,0,0,0,0,3
59,Northumbria University,14,1,0,0,0,0,13
60,University of London,10,10,0,0,0,0,0
61,FXU (Falmouth & Exeter Student's Union),9,0,0,9,0,0,0
62,Glasgow Caledonian University,7,0,0,0,7,0,0
63,University of South Wales,5,0,5,0,0,0,0
64,University of Plymouth,2,0,0,0,0,2,0
65,Wrexham Glyndwr University,0,0,0,0,0,0,0
