Rank,University,Total,CS:GO,Dota 2,Hearthstone,League of Legends,Overwatch,Rainbow 6,Rocket League,Valorant,Smash,TFT,Racing
1,University of Warwick,1665,96,278,73,358,141,142,398,166,0,13,0
2,Staffordshire University,1085,188,72,0,117,0,116,196,56,334,1,5
3,University of Southampton,980,244,116,17,124,92,22,158,84,84,23,16
4,University of East Anglia,882,12,104,0,158,68,20,211,219,81,9,0
5,Lancaster University,830,143,175,0,110,56,2,151,115,0,0,78
6,Loughborough University,814,72,3,0,77,48,149,300,122,0,3,40
7,University of Portsmouth,806,0,112,0,52,210,108,181,143,0,0,0
8,Durham University,801,96,96,1,113,25,0,238,25,167,40,0
9,Newcastle University,776,130,112,0,166,14,178,84,20,46,21,5
10,Royal Holloway University of London,775,100,9,0,160,57,64,109,136,79,6,55
11,University of Kent,751,109,0,0,309,21,106,117,76,0,2,11
12,University of The West of England,746,347,0,0,111,104,0,155,26,0,0,3
13,University of Leeds,721,196,44,12,61,108,118,115,26,8,0,33
14,Swansea University,694,265,28,0,134,0,235,31,1,0,0,0
15,University of York,665,49,4,10,62,177,43,57,255,3,5,0
16,University of Birmingham,657,120,8,0,63,100,11,205,10,67,73,0
17,University of Bath,651,238,15,0,108,19,33,149,0,89,0,0
18,University of Exeter,650,40,0,14,189,91,69,41,35,170,0,1
19,University of Nottingham,649,18,174,17,161,36,30,101,19,59,3,31
20,University of Sussex,607,19,0,81,114,134,45,156,17,1,13,27
21,University of Bristol,595,80,84,0,60,165,37,107,3,13,46,0
22,Cardiff University,591,87,4,0,128,39,175,72,83,0,3,0
23,University of Surrey,589,41,13,0,250,111,0,109,40,1,2,22
24,University College London,587,0,145,0,224,53,54,0,0,3,106,2
25,Bournemouth University,576,184,0,1,43,127,0,210,4,0,7,0
26,University of Hertfordshire,556,65,108,0,100,60,26,46,139,0,10,2
27,De Montfort University,546,140,26,0,220,0,118,38,0,0,4,0
28,Coventry University,540,158,31,0,70,105,0,53,60,2,19,42
29,Nottingham Trent University,518,164,16,1,94,9,24,180,0,2,0,28
30,University of Lincoln,493,0,0,0,337,45,0,98,13,0,0,0
31,Kings College London,455,106,118,44,58,26,47,0,0,0,56,0
32,Heriot Watt University,425,57,6,109,12,0,118,27,96,0,0,0
33,University of Cambridge,413,100,5,83,6,123,0,4,31,0,61,0
34,University of Derby,396,177,18,0,53,0,67,81,0,0,0,0
35,University of Salford,384,64,0,0,95,0,0,172,0,43,0,10
36,Liverpool John Moores University,367,86,0,0,38,92,0,96,43,12,0,0
37,University of Reading,356,28,43,0,140,28,26,73,0,18,0,0
38,Keele University,341,52,2,0,75,7,39,151,0,0,0,15
39,University of Liverpool,339,3,29,0,0,72,92,139,0,4,0,0
40,University of Essex,329,129,0,0,0,0,41,144,0,15,0,0
41,University of Plymouth,311,0,0,56,149,49,15,37,0,0,0,5
42,University of Leicester,291,0,19,0,156,37,23,38,0,18,0,0
43,Sheffield Hallam University,276,112,0,0,0,0,0,63,84,0,0,17
44,University of Abertay Dundee,274,0,0,0,138,17,76,0,0,43,0,0
45,FXU (Falmouth & Exeter Student's Union),272,98,0,0,24,22,6,70,49,0,3,0
46,Brunel University,268,18,2,7,33,15,17,19,96,21,31,9
47,Imperial College London,264,11,22,0,67,0,80,38,46,0,0,0
47,University of St Andrews,264,4,11,42,32,114,0,1,39,21,0,0
49,University of Brighton,262,108,0,0,33,0,0,91,0,2,28,0
50,Northumbria University,259,0,0,31,37,0,9,46,136,0,0,0
51,University of Hull,249,0,35,0,49,8,0,0,92,65,0,0
52,University of Sheffield,239,72,24,0,13,16,28,7,0,15,9,55
