University,Total,Total Students,Column1
University of Abertay Dundee,299,4280,489.47
University of Chichester,269,5545,502.12
Keele University,685,10880,555.47
Heriot Watt University,314,11155,558.22
Royal Holloway University of London,579,11530,561.97
Roehampton University,502,12495,571.62
Aston University,309,15385,600.52
Brunel University,429,15520,601.87
Lancaster University,701,15665,603.32
Staffordshire University,1365,15675,603.42
University of Leicester,238,16180,608.47
University of Lincoln,593,16425,610.92
University of Essex,407,16530,611.97
Oxford Brookes University,473,16900,615.67
University of Surrey,386,16990,616.57
Bournemouth University,434,17390,620.57
University of East Anglia,731,18035,627.02
Loughborough University,1023,18295,629.62
University of Bath,797,18560,632.27
University of Kent,648,18710,633.77
University of Reading,590,18735,634.02
University of Sussex,447,19395,640.62
Imperial College London,499,19400,640.67
Durham University,940,19520,641.87
University of York,701,19790,644.57
Swansea University,955,20375,650.42
University of Cambridge,367,21340,660.07
University of Salford,455,21500,661.67
University of Southampton,985,22665,673.32
Queens University Belfast,353,24915,695.82
Liverpool John Moores University,258,25050,697.17
University of Hertfordshire,227,25520,701.87
University of Portsmouth,744,26775,714.42
University of Warwick,2037,26825,714.92
University of Exeter,896,26935,716.02
University of Bristol,649,27375,720.42
Newcastle University,677,28070,727.37
University of Liverpool,325,29600,742.67
University of Sheffield,585,30055,747.22
University of The West of England,845,30680,753.47
University of Glasgow,284,32465,771.32
Kings College London,718,33110,777.77
Cardiff University,602,33260,779.27
University of Nottingham,700,34840,795.07
University of Birmingham,938,35760,804.27
Nottingham Trent University,739,35785,804.52
University of Leeds,630,36330,809.97
Coventry University,563,38430,830.97
University of Manchester,706,40485,851.52
University College London,788,41095,857.62
