University,Total,Total Students,Column1
Leeds Conservatoire,6,1300,88
University of Abertay Dundee,299,4280,147.6
Leeds Trinity University,6,4985,161.7
Queen Margaret University,8,5130,164.6
University of Chichester,269,5545,172.9
School Of Oriental And African Studies,5,5795,177.9
FXU,212,6245,186.9
York St John University,59,7000,202
Aberystwyth University,137,7720,216.4
University Of Gloucestershire,95,7915,220.3
University of Winchester,11,8000,222
Bath Spa University,11,8450,231
University Of Suffolk,10,9565,253.3
Bangor University,149,9945,260.9
University of St Andrews,160,10535,272.7
Keele University,685,10880,279.6
Cardiff Metropolitan University,43,10920,280.4
Heriot Watt University,314,11155,285.1
Royal Holloway University of London,579,11530,292.6
University Of West London,43,11985,301.7
University of Northampton,121,12060,303.2
Roehampton University,502,12495,311.9
University of Stirling,74,12540,312.8
Edge Hill University,41,13560,333.2
University of Hull,45,14255,347.1
Aston University,309,15385,369.7
Brunel University,429,15520,372.4
Lancaster University,701,15665,375.3
Staffordshire University,1365,15675,375.5
University of Sunderland,31,15740,376.8
University of Leicester,238,16180,385.6
University of Dundee,48,16270,387.4
University of Lincoln,593,16425,390.5
University of Essex,407,16530,392.6
University of Bedfordshire,15,16725,396.5
London South Bank University,170,16840,398.8
Oxford Brookes University,473,16900,400
University of Surrey,386,16990,401.8
University of Huddersfield,72,17305,408.1
Bournemouth University,434,17390,409.8
Glasgow Caledonian University,116,17540,412.8
University of East Anglia,731,18035,422.7
Kingston University,1,18070,423.4
Loughborough University,1023,18295,427.9
University of Plymouth,147,18410,430.2
University of Bath,797,18560,433.2
University of Kent,648,18710,436.2
University of Reading,590,18735,436.7
University of Brighton,88,18985,441.7
Teesside University,150,19290,447.8
University of Sussex,447,19395,449.9
Imperial College London,499,19400,450
University of Westminster,116,19470,451.4
Durham University,940,19520,452.4
University of Derby,178,19685,455.7
University of York,701,19790,457.8
University of Greenwich,5,19825,458.5
University of the Arts London,69,19965,461.3
City University Of London,89,19975,461.5
Middlesex University,49,20175,465.5
Swansea University,955,20375,469.5
University of Cambridge,367,21340,488.8
University of Salford,455,21500,492
Queen Mary University of London,181,21665,495.3
University of Southampton,985,22665,515.3
Leeds Beckett University,12,23290,527.8
University of Strathclyde,195,24330,548.6
Queens University Belfast,353,24915,560.3
Liverpool John Moores University,258,25050,563
University of Hertfordshire,227,25520,572.4
Oxford University,110,25910,580.2
Anglia Ruskin University,48,26715,596.3
University of Portsmouth,744,26775,597.5
University of Warwick,2037,26825,598.5
Birmingham City University,215,26930,600.6
University of Exeter,896,26935,600.7
University of Bristol,649,27375,609.5
Ulster University,43,27680,615.6
Newcastle University,677,28070,623.4
Northumbria University,182,28325,628.5
De Montfort University,190,29000,642
University of Liverpool,325,29600,654
University of Sheffield,585,30055,663.1
University of The West of England,845,30680,675.6
Sheffield Hallam University,209,30960,681.2
University of Glasgow,284,32465,711.3
Kings College London,718,33110,724.2
Cardiff University,602,33260,727.2
Manchester Metropolitan University,223,33420,730.4
University of Nottingham,700,34840,758.8
University of Edinburgh,176,35375,769.5
University of Birmingham,938,35760,777.2
Nottingham Trent University,739,35785,777.7
University of Leeds,630,36330,788.6
Coventry University,563,38430,830.6
University of Manchester,706,40485,871.7
University College London,788,41095,883.9
